Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  12:07:53 up 3 days, 21:53,  3 users,  load average: 3.18, 3.00, 2.35
1,"--host fct-deei-linux:2",2,0.34,0.049,0.067,0.248310,0.000017,0.000000,0.000073
2,"--host fct-deei-linux:2",2,0.353,0.047,0.076,0.250484,0.000017,0.000000,0.000086
3,"--host fct-deei-linux:2",2,0.349,0.079,0.048,0.248829,0.000026,0.000001,0.000181
4,"--host fct-deei-linux:2",2,0.355,0.066,0.063,0.251826,0.000019,0.000000,0.000081
5,"--host fct-deei-linux:2",2,0.346,0.052,0.065,0.247783,0.000015,0.000000,0.000072
6,"--host fct-deei-linux:2",2,0.353,0.064,0.061,0.248981,0.000016,0.000000,0.000086
7,"--host fct-deei-linux:2",2,0.354,0.047,0.084,0.254136,0.000018,0.000000,0.000081
8,"--host fct-deei-linux:2",2,0.372,0.061,0.059,0.253275,0.000016,0.000000,0.000065
9,"--host fct-deei-linux:2",2,0.366,0.115,0.053,0.258563,0.000019,0.000001,0.000085
10,"--host fct-deei-linux:2",2,0.371,0.072,0.094,0.258582,0.000020,0.000000,0.000414
11,"--host fct-deei-linux:2",2,0.349,0.062,0.071,0.251192,0.000022,0.000000,0.000069
12,"--host fct-deei-linux:2",2,0.371,0.073,0.043,0.262868,0.000019,0.000000,0.000065
13,"--host fct-deei-linux:2",2,0.366,0.055,0.079,0.259342,0.000016,0.000000,0.000368
14,"--host fct-deei-linux:2",2,0.391,0.057,0.064,0.282277,0.000017,0.000000,0.000044
15,"--host fct-deei-linux:2",2,0.37,0.044,0.086,0.262347,0.000016,0.000000,0.000059
16,"--host fct-deei-linux:2",2,0.392,0.046,0.068,0.262081,0.000025,0.000001,0.000043
17,"--host fct-deei-linux:2",2,0.359,0.054,0.079,0.258975,0.000018,0.000000,0.000046
18,"--host fct-deei-linux:2",2,0.355,0.047,0.065,0.245787,0.000018,0.000000,0.000073
19,"--host fct-deei-linux:2",2,0.368,0.067,0.052,0.254668,0.000020,0.000001,0.000162
20,"--host fct-deei-linux:2",2,0.354,0.05,0.069,0.256538,0.000018,0.000000,0.000071
21,"--host fct-deei-linux:2",2,0.355,0.06,0.056,0.257737,0.000024,0.000001,0.000065
22,"--host fct-deei-linux:2",2,0.387,0.087,0.054,0.270629,0.000018,0.000000,0.000081
23,"--host fct-deei-linux:2",2,0.38,0.07,0.064,0.265406,0.000016,0.000000,0.000068
24,"--host fct-deei-linux:2",2,0.375,0.09,0.031,0.258338,0.000018,0.000000,0.000076
25,"--host fct-deei-linux:2",2,0.389,0.091,0.051,0.250717,0.000017,0.000000,0.000067
26,"--host fct-deei-linux:2",2,0.36,0.052,0.065,0.255494,0.000016,0.000000,0.000173
27,"--host fct-deei-linux:2",2,0.389,0.069,0.057,0.278822,0.000018,0.000000,0.000136
28,"--host fct-deei-linux:2",2,0.37,0.053,0.057,0.254552,0.000019,0.000000,0.000088
29,"--host fct-deei-linux:2",2,0.364,0.06,0.055,0.250575,0.000018,0.000000,0.000070
30,"--host fct-deei-linux:2",2,0.382,0.072,0.052,0.262523,0.000015,0.000000,0.000087
Uptime depois da execução:  12:08:06 up 3 days, 21:54,  3 users,  load average: 3.37, 3.05, 2.38
Média,"--host fct-deei-linux:2",2,0.366167,0.0637,0.0629333,0.257388,1.83667e-05,1.66667e-07,0.0001045
Uptime antes da execução:  12:08:07 up 3 days, 21:54,  3 users,  load average: 3.37, 3.05, 2.38
1,"--host fct-deei-linux:3",3,0.385,0.11,0.048,0.273028,0.000022,0.000000,0.008323
