Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  17:20:03 up  3:06, 21 users,  load average: 8.26, 8.56, 6.36
1,"--host fct-deei-linux:2",2,0.415,0.151,0.106,0.299215,0.000198,0.035049,0.035436
2,"--host fct-deei-linux:2",2,0.417,0.161,0.113,0.304336,0.000208,0.039239,0.039617
3,"--host fct-deei-linux:2",2,0.412,0.174,0.092,0.295738,0.000198,0.033822,0.034356
4,"--host fct-deei-linux:2",2,0.404,0.185,0.07,0.292021,0.000177,0.034571,0.034939
5,"--host fct-deei-linux:2",2,0.413,0.178,0.093,0.293718,0.000187,0.033833,0.034594
6,"--host fct-deei-linux:2",2,0.411,0.164,0.103,0.296051,0.000244,0.034486,0.034842
7,"--host fct-deei-linux:2",2,0.409,0.196,0.081,0.305046,0.000222,0.033894,0.034672
8,"--host fct-deei-linux:2",2,0.399,0.165,0.098,0.286807,0.000182,0.033858,0.034564
9,"--host fct-deei-linux:2",2,0.427,0.227,0.088,0.324731,0.000202,0.064294,0.064685
10,"--host fct-deei-linux:2",2,0.417,0.192,0.08,0.308217,0.000186,0.035121,0.035496
11,"--host fct-deei-linux:2",2,0.407,0.159,0.103,0.299600,0.000185,0.036503,0.036898
12,"--host fct-deei-linux:2",2,0.403,0.182,0.08,0.297522,0.000218,0.034550,0.035509
13,"--host fct-deei-linux:2",2,0.449,0.221,0.11,0.325994,0.000207,0.065026,0.065439
14,"--host fct-deei-linux:2",2,0.413,0.181,0.093,0.300545,0.000200,0.035728,0.036103
15,"--host fct-deei-linux:2",2,0.405,0.184,0.081,0.297728,0.000225,0.033328,0.034868
16,"--host fct-deei-linux:2",2,0.411,0.154,0.112,0.307600,0.000203,0.033477,0.033837
17,"--host fct-deei-linux:2",2,0.402,0.186,0.072,0.290885,0.000188,0.034029,0.034381
18,"--host fct-deei-linux:2",2,0.419,0.174,0.102,0.310082,0.000193,0.035269,0.035668
19,"--host fct-deei-linux:2",2,0.398,0.163,0.094,0.292911,0.000198,0.034178,0.034984
20,"--host fct-deei-linux:2",2,0.414,0.162,0.103,0.295446,0.000229,0.033490,0.034391
21,"--host fct-deei-linux:2",2,0.401,0.166,0.088,0.301938,0.000198,0.033406,0.035396
22,"--host fct-deei-linux:2",2,0.42,0.159,0.116,0.306881,0.000176,0.034714,0.035095
23,"--host fct-deei-linux:2",2,0.401,0.191,0.06,0.286341,0.000183,0.033191,0.033659
24,"--host fct-deei-linux:2",2,0.407,0.188,0.08,0.298085,0.000221,0.034131,0.034684
25,"--host fct-deei-linux:2",2,0.419,0.165,0.109,0.309864,0.000217,0.032769,0.033610
26,"--host fct-deei-linux:2",2,0.43,0.204,0.09,0.313730,0.000196,0.034325,0.035250
27,"--host fct-deei-linux:2",2,0.403,0.169,0.092,0.290441,0.000164,0.033474,0.033812
28,"--host fct-deei-linux:2",2,0.418,0.186,0.075,0.322391,0.000200,0.071580,0.071978
29,"--host fct-deei-linux:2",2,0.504,0.123,0.064,0.343303,0.004994,0.059401,0.071790
30,"--host fct-deei-linux:2",2,0.503,0.123,0.066,0.343571,0.000196,0.067456,0.067824
Uptime depois da execução:  17:20:18 up  3:06, 21 users,  load average: 6.83, 8.22, 6.28
Média,"--host fct-deei-linux:2",2,0.418367,0.174433,0.0904667,0.304691,0.000359833,0.0396067,0.0406127
Uptime antes da execução:  17:20:18 up  3:06, 21 users,  load average: 6.83, 8.22, 6.28
1,"--host fct-deei-linux:3",3,0.446,0.227,0.088,0.336198,0.011825,0.036302,0.047981
2,"--host fct-deei-linux:3",3,0.395,0.21,0.086,0.300098,0.000213,0.026587,0.028006
3,"--host fct-deei-linux:3",3,0.392,0.201,0.125,0.292519,0.000214,0.025288,0.025689
4,"--host fct-deei-linux:3",3,0.405,0.207,0.132,0.294677,0.000442,0.024397,0.030964
5,"--host fct-deei-linux:3",3,0.404,0.172,0.15,0.287774,0.000232,0.023099,0.025559
6,"--host fct-deei-linux:3",3,0.408,0.215,0.121,0.294114,0.000361,0.022524,0.028268
7,"--host fct-deei-linux:3",3,0.392,0.228,0.096,0.289324,0.000200,0.024555,0.024948
8,"--host fct-deei-linux:3",3,0.407,0.226,0.118,0.295418,0.000217,0.025931,0.026310
9,"--host fct-deei-linux:3",3,0.398,0.18,0.15,0.290974,0.000294,0.023580,0.026862
10,"--host fct-deei-linux:3",3,0.399,0.211,0.12,0.296678,0.000234,0.024307,0.024750
11,"--host fct-deei-linux:3",3,0.394,0.197,0.121,0.289515,0.000203,0.024643,0.025120
12,"--host fct-deei-linux:3",3,0.395,0.212,0.115,0.287674,0.000205,0.024689,0.025057
13,"--host fct-deei-linux:3",3,0.404,0.217,0.125,0.297048,0.000263,0.030071,0.030542
14,"--host fct-deei-linux:3",3,0.411,0.224,0.126,0.298877,0.000330,0.025272,0.029116
15,"--host fct-deei-linux:3",3,0.393,0.202,0.122,0.286244,0.000250,0.023900,0.024424
16,"--host fct-deei-linux:3",3,0.396,0.207,0.116,0.296146,0.000355,0.023183,0.028382
17,"--host fct-deei-linux:3",3,0.397,0.207,0.122,0.293549,0.000234,0.026776,0.027373
18,"--host fct-deei-linux:3",3,0.398,0.174,0.145,0.286071,0.000282,0.022198,0.024094
19,"--host fct-deei-linux:3",3,0.413,0.221,0.13,0.296333,0.000254,0.026523,0.026917
20,"--host fct-deei-linux:3",3,0.4,0.241,0.103,0.295069,0.000204,0.026341,0.026733
21,"--host fct-deei-linux:3",3,0.403,0.252,0.087,0.295890,0.000188,0.027130,0.027512
22,"--host fct-deei-linux:3",3,0.405,0.224,0.125,0.297309,0.000239,0.028116,0.028534
23,"--host fct-deei-linux:3",3,0.396,0.22,0.113,0.288730,0.000223,0.024362,0.025319
24,"--host fct-deei-linux:3",3,0.388,0.215,0.095,0.283811,0.000192,0.023532,0.023921
25,"--host fct-deei-linux:3",3,0.401,0.225,0.115,0.295668,0.000276,0.026544,0.026955
26,"--host fct-deei-linux:3",3,0.4,0.207,0.132,0.292454,0.000367,0.023899,0.028232
27,"--host fct-deei-linux:3",3,0.398,0.205,0.119,0.282098,0.000217,0.022808,0.023474
28,"--host fct-deei-linux:3",3,0.398,0.224,0.103,0.286846,0.000223,0.024026,0.024482
29,"--host fct-deei-linux:3",3,0.408,0.184,0.151,0.298288,0.000734,0.023447,0.028295
30,"--host fct-deei-linux:3",3,0.408,0.236,0.096,0.289585,0.000284,0.022891,0.026372
Uptime depois da execução:  17:20:32 up  3:06, 21 users,  load average: 5.46, 7.85, 6.19
Média,"--host fct-deei-linux:3",3,0.401733,0.212367,0.118233,0.293833,0.0006585,0.0252307,0.0273397
Uptime antes da execução:  17:20:32 up  3:06, 21 users,  load average: 5.46, 7.85, 6.19
1,"--host fct-deei-linux:4",4,0.384,0.201,0.168,0.283030,0.000258,0.016880,0.021569
2,"--host fct-deei-linux:4",4,0.399,0.184,0.19,0.283320,0.000224,0.016738,0.019594
3,"--host fct-deei-linux:4",4,0.404,0.213,0.151,0.285685,0.000286,0.017370,0.019814
4,"--host fct-deei-linux:4",4,0.423,0.286,0.13,0.307922,0.004909,0.017120,0.025960
5,"--host fct-deei-linux:4",4,0.389,0.217,0.158,0.283922,0.000311,0.017546,0.020705
6,"--host fct-deei-linux:4",4,0.392,0.242,0.133,0.283349,0.000233,0.018371,0.018741
7,"--host fct-deei-linux:4",4,0.401,0.241,0.144,0.286693,0.000359,0.017815,0.022473
8,"--host fct-deei-linux:4",4,0.403,0.252,0.141,0.288291,0.000247,0.019975,0.020446
9,"--host fct-deei-linux:4",4,0.399,0.214,0.164,0.285441,0.000409,0.017334,0.019346
10,"--host fct-deei-linux:4",4,0.411,0.242,0.153,0.288396,0.000367,0.017610,0.020621
11,"--host fct-deei-linux:4",4,0.41,0.251,0.146,0.294774,0.000372,0.017755,0.021988
12,"--host fct-deei-linux:4",4,0.39,0.22,0.159,0.286106,0.000287,0.018642,0.019494
13,"--host fct-deei-linux:4",4,0.41,0.249,0.145,0.290664,0.000312,0.018205,0.021769
14,"--host fct-deei-linux:4",4,0.412,0.228,0.174,0.293192,0.000257,0.020671,0.021099
15,"--host fct-deei-linux:4",4,0.392,0.233,0.129,0.285071,0.000690,0.017337,0.017730
16,"--host fct-deei-linux:4",4,0.391,0.265,0.11,0.282869,0.000208,0.018520,0.018939
17,"--host fct-deei-linux:4",4,0.401,0.268,0.118,0.290093,0.000280,0.018975,0.019390
18,"--host fct-deei-linux:4",4,0.404,0.285,0.112,0.300874,0.000436,0.017406,0.021883
19,"--host fct-deei-linux:4",4,0.394,0.223,0.169,0.290775,0.000275,0.018406,0.021571
20,"--host fct-deei-linux:4",4,0.413,0.221,0.173,0.302656,0.000412,0.017828,0.023439
21,"--host fct-deei-linux:4",4,0.4,0.195,0.179,0.280646,0.000243,0.016830,0.019135
22,"--host fct-deei-linux:4",4,0.414,0.319,0.131,0.301398,0.000455,0.018136,0.037863
