Executando com configuração: --host fct-deei-linux:2 e np=2
Execução 7: Configuração=--host fct-deei-linux:3, np=3, real=0.415, user=0.073, sys=0.063, total=0.267266, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.006195
Execução 8: Configuração=--host fct-deei-linux:3, np=3, real=0.409, user=0.079, sys=0.064, total=0.290261, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.007479
Execução 9: Configuração=--host fct-deei-linux:3, np=3, real=0.368, user=0.082, sys=0.063, total=0.256637, bcast_scatterv=0.000259, computacao=0.000001, gatherv=0.000703
Execução 10: Configuração=--host fct-deei-linux:3, np=3, real=0.363, user=0.094, sys=0.057, total=0.271994, bcast_scatterv=0.000020, computacao=0.000001, gatherv=0.015818
Execução 11: Configuração=--host fct-deei-linux:3, np=3, real=0.411, user=0.077, sys=0.068, total=0.272983, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.008119
Execução 12: Configuração=--host fct-deei-linux:3, np=3, real=0.398, user=0.068, sys=0.077, total=0.272825, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.008169
Execução 13: Configuração=--host fct-deei-linux:3, np=3, real=0.373, user=0.091, sys=0.073, total=0.262543, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.000157
Execução 14: Configuração=--host fct-deei-linux:3, np=3, real=0.423, user=0.077, sys=0.056, total=0.269807, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000251
Execução 15: Configuração=--host fct-deei-linux:3, np=3, real=0.422, user=0.082, sys=0.046, total=0.265929, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.001068
Execução 16: Configuração=--host fct-deei-linux:3, np=3, real=0.367, user=0.1, sys=0.077, total=0.265092, bcast_scatterv=0.000027, computacao=0.000000, gatherv=0.007978
Execução 17: Configuração=--host fct-deei-linux:3, np=3, real=0.415, user=0.046, sys=0.091, total=0.273685, bcast_scatterv=0.000023, computacao=0.000000, gatherv=0.000126
Execução 18: Configuração=--host fct-deei-linux:3, np=3, real=0.394, user=0.07, sys=0.089, total=0.269258, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.008441
Execução 19: Configuração=--host fct-deei-linux:3, np=3, real=0.428, user=0.092, sys=0.06, total=0.270779, bcast_scatterv=0.000026, computacao=0.000000, gatherv=0.006238
Execução 20: Configuração=--host fct-deei-linux:3, np=3, real=0.381, user=0.083, sys=0.087, total=0.258440, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.000505
Execução 21: Configuração=--host fct-deei-linux:3, np=3, real=0.441, user=0.056, sys=0.086, total=0.273674, bcast_scatterv=0.000022, computacao=0.000000, gatherv=0.005305
Execução 22: Configuração=--host fct-deei-linux:3, np=3, real=0.451, user=0.055, sys=0.095, total=0.282235, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.012998
Execução 23: Configuração=--host fct-deei-linux:3, np=3, real=0.379, user=0.111, sys=0.063, total=0.259365, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000279
Execução 24: Configuração=--host fct-deei-linux:3, np=3, real=0.402, user=0.08, sys=0.073, total=0.274765, bcast_scatterv=0.000028, computacao=0.000000, gatherv=0.005570
Execução 25: Configuração=--host fct-deei-linux:3, np=3, real=0.426, user=0.068, sys=0.064, total=0.279467, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.000299
Execução 26: Configuração=--host fct-deei-linux:3, np=3, real=0.403, user=0.087, sys=0.059, total=0.259603, bcast_scatterv=0.000023, computacao=0.000000, gatherv=0.000192
Execução 27: Configuração=--host fct-deei-linux:3, np=3, real=0.357, user=0.069, sys=0.094, total=0.259185, bcast_scatterv=0.000074, computacao=0.000001, gatherv=0.001011
Execução 28: Configuração=--host fct-deei-linux:3, np=3, real=0.443, user=0.06, sys=0.091, total=0.269223, bcast_scatterv=0.000019, computacao=0.000000, gatherv=0.004073
Execução 29: Configuração=--host fct-deei-linux:3, np=3, real=0.42, user=0.079, sys=0.064, total=0.273754, bcast_scatterv=0.000021, computacao=0.000000, gatherv=0.004097
Execução 30: Configuração=--host fct-deei-linux:3, np=3, real=0.43, user=0.091, sys=0.073, total=0.281506, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.008078
Executando com configuração: --host fct-deei-linux:4 e np=4
Execução 1: Configuração=--host fct-deei-linux:4, np=4, real=0.371, user=0.096, sys=0.077, total=0.275404, bcast_scatterv=0.000023, computacao=0.000000, gatherv=0.006130
Execução 2: Configuração=--host fct-deei-linux:4, np=4, real=0.416, user=0.072, sys=0.088, total=0.266767, bcast_scatterv=0.000018, computacao=0.000000, gatherv=0.001106
Execução 3: Configuração=--host fct-deei-linux:4, np=4, real=0.415, user=0.087, sys=0.074, total=0.264855, bcast_scatterv=0.000020, computacao=0.000000, gatherv=0.000409
Execução 4: Configuração=--host fct-deei-linux:4, np=4, real=0.389, user=0.102, sys=0.103, total=0.277514, bcast_scatterv=0.000032, computacao=0.000001, gatherv=0.002422
