Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:59:03 up  2:45, 25 users,  load average: 2.85, 3.47, 2.59
1,0.038,0.106,0,0.021596
2,0.041,0.11,0,0.022652
3,0.047,0.115,0.011,0.029523
4,0.048,0.125,0,0.026842
5,0.051,0.118,0.008,0.030721
6,0.045,0.102,0.013,0.024273
7,0.043,0.108,0.004,0.025606
8,0.042,0.106,0,0.025826
9,0.049,0.122,0.004,0.027717
10,0.04,0.108,0,0.023099
11,0.039,0.108,0,0.023358
12,0.041,0.11,0,0.024722
13,0.038,0.102,0,0.022476
14,0.043,0.113,0,0.025906
15,0.044,0.115,0,0.024435
16,0.038,0.101,0,0.020774
17,0.038,0.107,0,0.022608
18,0.039,0.106,0,0.021707
19,0.045,0.122,0,0.026960
20,0.042,0.107,0.004,0.024873
21,0.041,0.104,0.004,0.023688
22,0.04,0.1,0.008,0.023713
23,0.047,0.113,0,0.028133
24,0.044,0.117,0,0.027099
25,0.046,0.116,0,0.029960
26,0.051,0.121,0.008,0.027158
27,0.04,0.112,0,0.024252
28,0.039,0.107,0,0.024258
29,0.048,0.123,0.001,0.026702
30,0.058,0.141,0.008,0.037903
Média,0.0435,0.112167,0.00243333,0.025618
Total,1.305,3.365,0.073,0.76854
Uptime depois da execução:  16:59:05 up  2:45, 25 users,  load average: 2.85, 3.47, 2.59
