Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:12:35 up  2:58, 25 users,  load average: 8.29, 6.18, 4.37
1,0.068,0.083,0,0.053142
2,0.071,0.08,0.004,0.054597
3,0.068,0.086,0,0.052267
4,0.076,0.085,0,0.060359
5,0.065,0.083,0,0.048996
6,0.076,0.08,0.004,0.059613
7,0.07,0.087,0,0.053278
8,0.069,0.08,0.004,0.052776
9,0.066,0.084,0,0.050488
10,0.073,0.085,0,0.057568
11,0.062,0.083,0,0.046594
12,0.071,0.08,0.004,0.055313
13,0.066,0.077,0.008,0.049996
14,0.076,0.089,0,0.059757
15,0.079,0.085,0,0.062736
16,0.076,0.084,0,0.059863
17,0.075,0.083,0,0.059450
18,0.077,0.086,0,0.061442
19,0.077,0.085,0,0.060840
20,0.06,0.081,0,0.045374
21,0.068,0.085,0,0.052394
22,0.076,0.085,0,0.060121
23,0.071,0.079,0.004,0.055804
24,0.069,0.079,0.004,0.052898
25,0.075,0.079,0.004,0.059331
26,0.057,0.079,0.004,0.041532
27,0.073,0.084,0,0.057667
28,0.069,0.084,0,0.053269
29,0.071,0.079,0.004,0.051763
30,0.076,0.084,0,0.060318
Média,0.0708667,0.0827667,0.00146667,0.0549843
Total,2.126,2.483,0.044,1.64953
Uptime depois da execução:  17:12:38 up  2:58, 25 users,  load average: 8.51, 6.26, 4.40
