Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:05:23 up  2:51, 23 users,  load average: 3.88, 3.85, 3.06
1,0.281,0.631,0.012,0.215205
2,0.266,0.643,0.008,0.197123
3,0.269,0.668,0.004,0.200384
4,0.265,0.63,0.016,0.203392
5,0.273,0.63,0.008,0.205641
6,0.273,0.618,0.023,0.205204
7,0.318,0.627,0.008,0.226828
8,0.342,0.627,0.015,0.256653
9,0.322,0.628,0.008,0.259264
10,0.278,0.61,0.012,0.215740
11,0.305,0.614,0.008,0.244613
12,0.26,0.628,0.012,0.195324
13,0.272,0.635,0.008,0.201573
14,0.328,0.645,0.011,0.255797
15,0.27,0.638,0.004,0.190367
16,0.289,0.648,0.004,0.227841
17,0.263,0.655,0.008,0.195083
18,0.27,0.648,0.02,0.205975
19,0.28,0.648,0.008,0.210396
20,0.273,0.651,0,0.209433
21,0.262,0.65,0.008,0.196415
22,0.267,0.651,0.004,0.198337
23,0.262,0.646,0.008,0.197667
24,0.269,0.632,0.012,0.207665
25,0.252,0.632,0.004,0.185837
26,0.26,0.642,0,0.194877
27,0.271,0.645,0.004,0.202552
28,0.271,0.655,0.012,0.202121
29,0.268,0.65,0.008,0.200791
30,0.271,0.64,0.004,0.205780
Média,0.278333,0.638833,0.0087,0.210462
Total,8.35,19.165,0.261,6.31386
Uptime depois da execução:  17:05:32 up  2:51, 24 users,  load average: 3.74, 3.82, 3.06
