Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:47:15 up  2:33, 26 users,  load average: 2.07, 0.66, 1.01
1,0.088,0.088,0,0.072266
2,0.088,0.088,0,0.070577
3,0.094,0.089,0,0.077984
4,0.083,0.089,0,0.066864
5,0.092,0.089,0,0.075099
6,0.095,0.087,0.004,0.077548
7,0.09,0.085,0.004,0.072799
8,0.089,0.089,0,0.071456
9,0.083,0.089,0,0.067255
10,0.089,0.085,0.004,0.072196
11,0.062,0.084,0.004,0.046679
12,0.088,0.088,0,0.073046
13,0.082,0.099,0,0.063441
14,0.089,0.088,0,0.067841
15,0.087,0.083,0.004,0.071926
16,0.076,0.089,0,0.059626
17,0.082,0.092,0,0.065609
18,0.086,0.082,0.004,0.070324
19,0.088,0.084,0.004,0.073280
20,0.088,0.088,0,0.072494
21,0.081,0.09,0.004,0.062800
22,0.076,0.088,0,0.060842
23,0.088,0.084,0.004,0.071368
24,0.088,0.088,0,0.071160
25,0.087,0.086,0,0.071529
26,0.07,0.085,0.004,0.054072
27,0.087,0.087,0,0.070765
28,0.088,0.084,0.004,0.072112
29,0.075,0.088,0,0.059664
30,0.083,0.08,0.008,0.067459
Média,0.0847333,0.0871667,0.00173333,0.068336
Total,2.542,2.615,0.052,2.05008
Uptime depois da execução:  16:47:18 up  2:33, 26 users,  load average: 2.07, 0.66, 1.01
