Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:05:21 up  2:51, 23 users,  load average: 3.88, 3.85, 3.06
1,0.048,0.094,0.004,0.032049
2,0.044,0.094,0,0.028207
3,0.041,0.084,0.004,0.025622
4,0.047,0.1,0,0.029211
5,0.043,0.091,0,0.025952
6,0.043,0.088,0.004,0.026782
7,0.044,0.095,0,0.027541
8,0.047,0.097,0,0.027107
9,0.045,0.089,0.004,0.028257
10,0.044,0.092,0,0.026609
11,0.045,0.097,0,0.028681
12,0.058,0.111,0,0.029618
13,0.047,0.094,0.004,0.029720
14,0.043,0.092,0,0.026319
15,0.043,0.09,0.004,0.027104
16,0.046,0.085,0.008,0.026496
17,0.039,0.09,0,0.023514
18,0.044,0.088,0.004,0.026145
19,0.042,0.086,0.004,0.024714
20,0.044,0.089,0.004,0.027069
21,0.047,0.098,0,0.028371
22,0.053,0.101,0.004,0.036823
23,0.049,0.098,0,0.033169
24,0.047,0.091,0.004,0.027641
25,0.042,0.089,0,0.025076
26,0.042,0.089,0.004,0.027263
27,0.046,0.095,0,0.025996
28,0.045,0.096,0,0.028683
29,0.05,0.091,0.004,0.030079
30,0.044,0.086,0.004,0.025451
Média,0.0454,0.0926667,0.00213333,0.0278423
Total,1.362,2.78,0.064,0.835269
Uptime depois da execução:  17:05:23 up  2:51, 23 users,  load average: 3.88, 3.85, 3.06
