Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  10:17:16 up 20:45,  2 users,  load average: 1.76, 1.37, 1.25
1,"--host fct-deei-linux:2",2,2,2.344,3.949,0.119,2.125970,0.001973,1.839647,1.844136
2,"--host fct-deei-linux:2",2,2,2.33,3.891,0.122,2.111656,0.002050,1.814853,1.819416
3,"--host fct-deei-linux:2",2,2,3.991,7.231,0.107,3.773120,0.002133,3.444535,3.449517
4,"--host fct-deei-linux:2",2,2,2.336,3.932,0.106,2.123336,0.002054,1.825026,1.828964
5,"--host fct-deei-linux:2",2,2,2.369,3.997,0.098,2.152549,0.001814,1.852109,1.856568
6,"--host fct-deei-linux:2",2,2,2.366,3.984,0.119,2.167269,0.001868,1.863955,1.869109
7,"--host fct-deei-linux:2",2,2,2.342,3.964,0.096,2.140135,0.001790,1.843659,1.847628
8,"--host fct-deei-linux:2",2,2,2.325,3.92,0.089,2.116687,0.001573,1.814907,1.819407
9,"--host fct-deei-linux:2",2,2,3.992,7.216,0.124,3.780505,0.002058,3.456944,3.461996
10,"--host fct-deei-linux:2",2,2,2.323,3.899,0.114,2.110618,0.001788,1.815208,1.819568
11,"--host fct-deei-linux:2",2,2,4.008,7.292,0.084,3.796708,0.002056,3.470017,3.474805
12,"--host fct-deei-linux:2",2,2,2.333,3.916,0.121,2.123518,0.001821,1.828112,1.832317
13,"--host fct-deei-linux:2",2,2,2.359,3.953,0.127,2.134392,0.001786,1.841821,1.846421
14,"--host fct-deei-linux:2",2,2,2.354,3.924,0.132,2.138088,0.001703,1.836615,1.840905
15,"--host fct-deei-linux:2",2,2,2.354,3.932,0.122,2.135353,0.001850,1.830482,1.834945
16,"--host fct-deei-linux:2",2,2,2.335,3.936,0.086,2.117036,0.001713,1.817606,1.821583
17,"--host fct-deei-linux:2",2,2,2.328,3.917,0.112,2.121175,0.001791,1.820863,1.825153
18,"--host fct-deei-linux:2",2,2,2.35,3.954,0.117,2.143606,0.001967,1.841409,1.845784
19,"--host fct-deei-linux:2",2,2,3.993,7.234,0.088,3.765784,0.002059,3.434918,3.439824
20,"--host fct-deei-linux:2",2,2,2.325,3.863,0.147,2.111917,0.001731,1.816864,1.820449
21,"--host fct-deei-linux:2",2,2,2.365,3.994,0.095,2.148397,0.001787,1.847818,1.852461
22,"--host fct-deei-linux:2",2,2,2.318,3.876,0.113,2.094633,0.001764,1.797023,1.801306
23,"--host fct-deei-linux:2",2,2,2.315,3.851,0.148,2.095529,0.001741,1.793876,1.798053
24,"--host fct-deei-linux:2",2,2,2.352,3.932,0.12,2.134856,0.001792,1.824978,1.829263
25,"--host fct-deei-linux:2",2,2,4.052,7.306,0.142,3.829431,0.001989,3.495254,3.500331
26,"--host fct-deei-linux:2",2,2,2.311,3.858,0.14,2.097525,0.001735,1.808113,1.812423
27,"--host fct-deei-linux:2",2,2,2.332,3.917,0.108,2.111645,0.001715,1.815757,1.820182
28,"--host fct-deei-linux:2",2,2,3.986,7.183,0.141,3.773646,0.002055,3.447470,3.452556
29,"--host fct-deei-linux:2",2,2,2.33,3.905,0.123,2.116602,0.001925,1.820465,1.824820
30,"--host fct-deei-linux:2",2,2,2.371,3.976,0.116,2.158913,0.001947,1.839616,1.847160
Uptime depois da execução:  10:18:39 up 20:46,  2 users,  load average: 3.12, 1.89, 1.44
Média,"--host fct-deei-linux:2",2,2,2.672967,4.590067,0.115867,2.458347,0.001868,2.153337,2.157903
Uptime antes da execução:  10:18:41 up 20:46,  2 users,  load average: 3.12, 1.89, 1.44
