Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  13:28:25 up 23:56,  6 users,  load average: 0.00, 0.00, 0.21
1,"--host fct-deei-linux:2",2,2,0.398,0.18,0.08,0.286511,0.000258,0.030960,0.031360
2,"--host fct-deei-linux:2",2,2,0.388,0.162,0.082,0.273133,0.000177,0.029649,0.029982
3,"--host fct-deei-linux:2",2,2,0.402,0.18,0.069,0.284788,0.000197,0.028124,0.028883
4,"--host fct-deei-linux:2",2,2,0.406,0.187,0.085,0.280509,0.000222,0.029320,0.031256
5,"--host fct-deei-linux:2",2,2,0.406,0.17,0.085,0.280663,0.000176,0.028680,0.029398
6,"--host fct-deei-linux:2",2,2,0.393,0.156,0.091,0.288834,0.000200,0.029303,0.029673
7,"--host fct-deei-linux:2",2,2,0.416,0.175,0.092,0.290687,0.000204,0.029204,0.030747
8,"--host fct-deei-linux:2",2,2,0.405,0.179,0.081,0.283425,0.000219,0.029525,0.030482
9,"--host fct-deei-linux:2",2,2,0.407,0.166,0.088,0.292464,0.000176,0.029806,0.030132
10,"--host fct-deei-linux:2",2,2,0.398,0.164,0.09,0.274080,0.000202,0.029273,0.029632
11,"--host fct-deei-linux:2",2,2,0.401,0.161,0.091,0.287158,0.000297,0.028243,0.036309
12,"--host fct-deei-linux:2",2,2,0.403,0.184,0.081,0.290005,0.000232,0.029316,0.029697
13,"--host fct-deei-linux:2",2,2,0.441,0.215,0.11,0.323339,0.000197,0.063022,0.063437
14,"--host fct-deei-linux:2",2,2,0.393,0.169,0.085,0.281828,0.000162,0.029488,0.029953
15,"--host fct-deei-linux:2",2,2,0.406,0.186,0.076,0.293552,0.000183,0.029205,0.029948
16,"--host fct-deei-linux:2",2,2,0.407,0.163,0.094,0.291040,0.000192,0.030167,0.030496
17,"--host fct-deei-linux:2",2,2,0.422,0.208,0.093,0.313642,0.000198,0.055387,0.055783
18,"--host fct-deei-linux:2",2,2,0.399,0.152,0.1,0.288398,0.000167,0.031170,0.031505
19,"--host fct-deei-linux:2",2,2,0.419,0.188,0.086,0.299554,0.000191,0.031771,0.032110
20,"--host fct-deei-linux:2",2,2,0.406,0.168,0.097,0.294965,0.000174,0.028965,0.029283
21,"--host fct-deei-linux:2",2,2,0.396,0.162,0.085,0.288671,0.000214,0.031888,0.032228
22,"--host fct-deei-linux:2",2,2,0.381,0.144,0.085,0.279579,0.000190,0.029341,0.030281
23,"--host fct-deei-linux:2",2,2,0.395,0.146,0.119,0.281933,0.000207,0.028504,0.028823
24,"--host fct-deei-linux:2",2,2,0.415,0.18,0.085,0.297710,0.000206,0.030612,0.030978
25,"--host fct-deei-linux:2",2,2,0.426,0.212,0.092,0.312539,0.000214,0.055807,0.056195
26,"--host fct-deei-linux:2",2,2,0.401,0.175,0.078,0.291117,0.000181,0.031114,0.031458
27,"--host fct-deei-linux:2",2,2,0.416,0.162,0.119,0.305697,0.000159,0.032584,0.032904
28,"--host fct-deei-linux:2",2,2,0.402,0.177,0.085,0.289361,0.000214,0.029083,0.030067
29,"--host fct-deei-linux:2",2,2,0.422,0.198,0.079,0.301210,0.000165,0.030696,0.031033
30,"--host fct-deei-linux:2",2,2,0.416,0.169,0.098,0.292315,0.000199,0.030083,0.030432
Uptime depois da execução:  13:28:39 up 23:56,  6 users,  load average: 0.47, 0.10, 0.24
Média,"--host fct-deei-linux:2",2,2,0.406200,0.174600,0.089367,0.291291,0.000199,0.032676,0.033482
Uptime antes da execução:  13:28:40 up 23:56,  6 users,  load average: 0.47, 0.10, 0.24
1,"--host fct-deei-linux:2",2,4,0.432,0.173,0.113,0.301537,0.000190,0.031372,0.031724
2,"--host fct-deei-linux:2",2,4,0.416,0.188,0.089,0.296008,0.000194,0.030654,0.031272
3,"--host fct-deei-linux:2",2,4,0.423,0.219,0.088,0.319491,0.000205,0.055484,0.055866
4,"--host fct-deei-linux:2",2,4,0.394,0.162,0.093,0.279632,0.000179,0.029606,0.029931
5,"--host fct-deei-linux:2",2,4,0.414,0.152,0.117,0.292623,0.000203,0.029366,0.029721
6,"--host fct-deei-linux:2",2,4,0.39,0.155,0.095,0.279966,0.000177,0.030788,0.031903
7,"--host fct-deei-linux:2",2,4,0.425,0.191,0.086,0.306885,0.000184,0.033429,0.033792
8,"--host fct-deei-linux:2",2,4,0.398,0.175,0.075,0.289537,0.000203,0.030128,0.030471
9,"--host fct-deei-linux:2",2,4,0.41,0.186,0.085,0.284501,0.000202,0.029966,0.030316
10,"--host fct-deei-linux:2",2,4,0.408,0.197,0.067,0.298127,0.000197,0.029633,0.030370
11,"--host fct-deei-linux:2",2,4,0.391,0.135,0.102,0.288589,0.000192,0.030168,0.030517
12,"--host fct-deei-linux:2",2,4,0.411,0.159,0.103,0.290668,0.000176,0.030350,0.030704
13,"--host fct-deei-linux:2",2,4,0.419,0.169,0.106,0.295464,0.000204,0.029967,0.030521
14,"--host fct-deei-linux:2",2,4,0.399,0.159,0.089,0.290900,0.000179,0.030396,0.030734
15,"--host fct-deei-linux:2",2,4,0.407,0.197,0.071,0.289427,0.000243,0.029913,0.030294
16,"--host fct-deei-linux:2",2,4,0.404,0.166,0.086,0.288007,0.000226,0.029249,0.029549
17,"--host fct-deei-linux:2",2,4,0.39,0.166,0.083,0.284198,0.000174,0.030358,0.030686
18,"--host fct-deei-linux:2",2,4,0.404,0.166,0.086,0.295257,0.000210,0.029696,0.030442
19,"--host fct-deei-linux:2",2,4,0.396,0.129,0.132,0.282100,0.000181,0.031267,0.031623
20,"--host fct-deei-linux:2",2,4,0.398,0.169,0.092,0.286154,0.000184,0.030733,0.031080
21,"--host fct-deei-linux:2",2,4,0.434,0.217,0.095,0.315482,0.000200,0.057962,0.058339
22,"--host fct-deei-linux:2",2,4,0.439,0.235,0.081,0.308686,0.000201,0.057681,0.058072
23,"--host fct-deei-linux:2",2,4,0.415,0.167,0.104,0.293738,0.000182,0.031263,0.031608
24,"--host fct-deei-linux:2",2,4,0.407,0.163,0.103,0.285428,0.000188,0.029655,0.030421
25,"--host fct-deei-linux:2",2,4,0.407,0.184,0.083,0.288505,0.000179,0.030553,0.030892
26,"--host fct-deei-linux:2",2,4,0.421,0.151,0.119,0.295484,0.000164,0.031937,0.032295
27,"--host fct-deei-linux:2",2,4,0.396,0.173,0.085,0.284368,0.000175,0.030723,0.031054
28,"--host fct-deei-linux:2",2,4,0.419,0.173,0.107,0.298108,0.000154,0.029525,0.029830
29,"--host fct-deei-linux:2",2,4,0.406,0.184,0.092,0.288202,0.000212,0.030793,0.040096
30,"--host fct-deei-linux:2",2,4,0.408,0.159,0.093,0.291032,0.000179,0.031160,0.031509
Uptime depois da execução:  13:28:54 up 23:57,  6 users,  load average: 0.68, 0.16, 0.26
Média,"--host fct-deei-linux:2",2,4,0.409367,0.173967,0.094000,0.292937,0.000191,0.033126,0.033854
