Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  10:00:43 up 20:28,  2 users,  load average: 0.86, 0.78, 0.51
1,"--host fct-deei-linux:2",2,2,0.62,0.589,0.09,0.489763,0.000547,0.225490,0.227037
2,"--host fct-deei-linux:2",2,2,0.84,1.032,0.092,0.709500,0.000677,0.441667,0.443176
3,"--host fct-deei-linux:2",2,2,0.626,0.578,0.117,0.491201,0.000578,0.227886,0.229086
4,"--host fct-deei-linux:2",2,2,0.846,1.052,0.075,0.718119,0.000735,0.443639,0.445131
5,"--host fct-deei-linux:2",2,2,0.637,0.639,0.074,0.512839,0.000578,0.243386,0.244647
6,"--host fct-deei-linux:2",2,2,0.844,1.056,0.074,0.713013,0.000768,0.443166,0.444784
7,"--host fct-deei-linux:2",2,2,0.629,0.632,0.074,0.491359,0.000585,0.236202,0.237585
8,"--host fct-deei-linux:2",2,2,0.625,0.597,0.098,0.490645,0.000530,0.231402,0.232583
9,"--host fct-deei-linux:2",2,2,0.845,1.031,0.093,0.704167,0.000687,0.434937,0.436607
10,"--host fct-deei-linux:2",2,2,0.858,1.072,0.078,0.709853,0.000719,0.442212,0.443849
11,"--host fct-deei-linux:2",2,2,0.623,0.593,0.085,0.488307,0.000529,0.229296,0.230518
12,"--host fct-deei-linux:2",2,2,0.642,0.602,0.118,0.497636,0.000565,0.232177,0.233435
13,"--host fct-deei-linux:2",2,2,0.638,0.602,0.109,0.498582,0.000553,0.227530,0.228967
14,"--host fct-deei-linux:2",2,2,0.624,0.609,0.08,0.487113,0.000525,0.227913,0.230269
15,"--host fct-deei-linux:2",2,2,0.646,0.601,0.112,0.515100,0.000573,0.229108,0.230395
16,"--host fct-deei-linux:2",2,2,0.627,0.596,0.103,0.495383,0.000520,0.227953,0.229174
17,"--host fct-deei-linux:2",2,2,0.63,0.616,0.092,0.496113,0.000603,0.229727,0.231838
18,"--host fct-deei-linux:2",2,2,0.637,0.612,0.097,0.506690,0.000546,0.232687,0.233890
19,"--host fct-deei-linux:2",2,2,0.633,0.606,0.092,0.499195,0.000540,0.231179,0.232460
20,"--host fct-deei-linux:2",2,2,0.631,0.61,0.091,0.487252,0.000527,0.231003,0.232421
21,"--host fct-deei-linux:2",2,2,0.625,0.591,0.093,0.486917,0.000600,0.230376,0.231654
22,"--host fct-deei-linux:2",2,2,0.627,0.592,0.096,0.496728,0.000532,0.231313,0.232599
23,"--host fct-deei-linux:2",2,2,0.637,0.591,0.121,0.490441,0.000623,0.231595,0.232876
24,"--host fct-deei-linux:2",2,2,0.647,0.624,0.109,0.505676,0.000559,0.236099,0.237553
25,"--host fct-deei-linux:2",2,2,0.64,0.613,0.107,0.512630,0.000547,0.236900,0.238229
26,"--host fct-deei-linux:2",2,2,0.644,0.645,0.075,0.510001,0.000540,0.239733,0.240976
27,"--host fct-deei-linux:2",2,2,0.859,1.043,0.106,0.716645,0.000702,0.447158,0.448593
28,"--host fct-deei-linux:2",2,2,0.657,0.6,0.124,0.510149,0.000569,0.232899,0.234143
29,"--host fct-deei-linux:2",2,2,0.637,0.621,0.101,0.504469,0.000543,0.240907,0.242128
30,"--host fct-deei-linux:2",2,2,0.63,0.628,0.075,0.495478,0.000589,0.230799,0.234274
Uptime depois da execução:  10:01:06 up 20:29,  2 users,  load average: 0.81, 0.78, 0.51
Média,"--host fct-deei-linux:2",2,2,0.676800,0.695767,0.095033,0.541030,0.000590,0.274212,0.275696
Uptime antes da execução:  10:01:06 up 20:29,  2 users,  load average: 0.81, 0.78, 0.51
1,"--host fct-deei-linux:2",2,4,0.636,0.619,0.105,0.504287,0.000550,0.240323,0.241612
2,"--host fct-deei-linux:2",2,4,0.624,0.584,0.101,0.497736,0.000539,0.229394,0.231244
3,"--host fct-deei-linux:2",2,4,0.639,0.564,0.148,0.496863,0.000728,0.231061,0.232379
4,"--host fct-deei-linux:2",2,4,0.626,0.602,0.1,0.490029,0.000604,0.230237,0.231418
5,"--host fct-deei-linux:2",2,4,0.65,0.598,0.124,0.514843,0.000579,0.233158,0.237077
6,"--host fct-deei-linux:2",2,4,0.636,0.6,0.097,0.500168,0.000620,0.224837,0.226409
7,"--host fct-deei-linux:2",2,4,0.622,0.596,0.09,0.486242,0.000662,0.226658,0.227920
8,"--host fct-deei-linux:2",2,4,0.627,0.597,0.093,0.486492,0.000601,0.224239,0.225610
9,"--host fct-deei-linux:2",2,4,0.644,0.64,0.059,0.499714,0.000570,0.229519,0.230852
10,"--host fct-deei-linux:2",2,4,0.637,0.612,0.083,0.498410,0.000542,0.228726,0.230157
11,"--host fct-deei-linux:2",2,4,0.643,0.596,0.123,0.509765,0.000630,0.236282,0.237693
12,"--host fct-deei-linux:2",2,4,0.868,1.055,0.1,0.720370,0.000714,0.444760,0.446350
13,"--host fct-deei-linux:2",2,4,0.642,0.594,0.128,0.505365,0.000562,0.229219,0.230847
14,"--host fct-deei-linux:2",2,4,0.635,0.614,0.088,0.497701,0.000569,0.236511,0.237848
15,"--host fct-deei-linux:2",2,4,0.649,0.627,0.092,0.510312,0.000607,0.231698,0.232999
16,"--host fct-deei-linux:2",2,4,0.644,0.621,0.098,0.505166,0.000591,0.238411,0.239665
17,"--host fct-deei-linux:2",2,4,0.656,0.646,0.095,0.511595,0.000562,0.239523,0.240856
18,"--host fct-deei-linux:2",2,4,0.634,0.63,0.084,0.502575,0.000545,0.238619,0.239851
19,"--host fct-deei-linux:2",2,4,0.639,0.608,0.106,0.496369,0.000554,0.232338,0.234145
20,"--host fct-deei-linux:2",2,4,0.647,0.617,0.092,0.503989,0.000529,0.229225,0.232226
21,"--host fct-deei-linux:2",2,4,0.653,0.637,0.092,0.511278,0.000505,0.237275,0.238527
22,"--host fct-deei-linux:2",2,4,0.643,0.624,0.099,0.501379,0.000534,0.242617,0.243930
23,"--host fct-deei-linux:2",2,4,0.632,0.626,0.09,0.504646,0.000574,0.239361,0.240625
24,"--host fct-deei-linux:2",2,4,0.633,0.614,0.076,0.504857,0.000542,0.232596,0.234574
25,"--host fct-deei-linux:2",2,4,0.856,1.066,0.087,0.725020,0.000680,0.454899,0.456442
26,"--host fct-deei-linux:2",2,4,0.655,0.637,0.089,0.506398,0.001166,0.237161,0.238507
27,"--host fct-deei-linux:2",2,4,0.843,1.033,0.092,0.712311,0.000656,0.439893,0.441333
28,"--host fct-deei-linux:2",2,4,0.851,1.059,0.071,0.706624,0.000697,0.438619,0.440140
29,"--host fct-deei-linux:2",2,4,0.632,0.593,0.1,0.496825,0.000586,0.228793,0.230021
30,"--host fct-deei-linux:2",2,4,0.626,0.596,0.094,0.492462,0.000537,0.230903,0.232145
Uptime depois da execução:  10:01:28 up 20:29,  2 users,  load average: 0.65, 0.75, 0.51
Média,"--host fct-deei-linux:2",2,4,0.667400,0.670167,0.096533,0.529993,0.000611,0.261228,0.262780
Uptime antes da execução:  10:01:29 up 20:29,  2 users,  load average: 0.65, 0.75, 0.51
1,"--host fct-deei-linux:2",2,6,0.639,0.619,0.086,0.498028,0.000534,0.231880,0.233130
2,"--host fct-deei-linux:2",2,6,0.63,0.633,0.059,0.495397,0.000527,0.229948,0.231356
3,"--host fct-deei-linux:2",2,6,0.638,0.582,0.12,0.501456,0.000595,0.232432,0.233693
4,"--host fct-deei-linux:2",2,6,0.851,1.05,0.09,0.723029,0.000693,0.453776,0.455256
5,"--host fct-deei-linux:2",2,6,0.62,0.573,0.11,0.496341,0.000540,0.230231,0.231578
6,"--host fct-deei-linux:2",2,6,0.637,0.607,0.094,0.501286,0.000579,0.232733,0.233931
7,"--host fct-deei-linux:2",2,6,0.625,0.614,0.079,0.493148,0.000600,0.233751,0.234976
8,"--host fct-deei-linux:2",2,6,0.64,0.623,0.075,0.501228,0.000552,0.230998,0.232436
9,"--host fct-deei-linux:2",2,6,0.647,0.616,0.096,0.506516,0.000552,0.233304,0.234525
10,"--host fct-deei-linux:2",2,6,0.638,0.624,0.08,0.501108,0.000552,0.232967,0.234230
11,"--host fct-deei-linux:2",2,6,0.626,0.574,0.122,0.497352,0.000576,0.233473,0.235245
12,"--host fct-deei-linux:2",2,6,0.852,1.048,0.094,0.715070,0.000643,0.447259,0.448671
13,"--host fct-deei-linux:2",2,6,0.629,0.603,0.09,0.490636,0.000543,0.231296,0.232484
14,"--host fct-deei-linux:2",2,6,0.866,1.062,0.102,0.722835,0.000679,0.448164,0.449707
15,"--host fct-deei-linux:2",2,6,0.634,0.604,0.092,0.492844,0.000532,0.229368,0.230620
16,"--host fct-deei-linux:2",2,6,0.634,0.629,0.077,0.492218,0.000567,0.233760,0.234983
17,"--host fct-deei-linux:2",2,6,0.611,0.576,0.101,0.481541,0.000595,0.228522,0.229861
18,"--host fct-deei-linux:2",2,6,0.862,1.052,0.097,0.720083,0.000736,0.447608,0.449082
19,"--host fct-deei-linux:2",2,6,0.631,0.588,0.086,0.497920,0.000582,0.225818,0.227062
20,"--host fct-deei-linux:2",2,6,0.632,0.579,0.113,0.483751,0.000641,0.226841,0.228038
21,"--host fct-deei-linux:2",2,6,0.641,0.615,0.088,0.503706,0.000688,0.232621,0.233925
22,"--host fct-deei-linux:2",2,6,0.644,0.615,0.101,0.510215,0.000579,0.239198,0.240803
23,"--host fct-deei-linux:2",2,6,0.632,0.624,0.06,0.491170,0.000539,0.225228,0.226486
24,"--host fct-deei-linux:2",2,6,0.622,0.585,0.105,0.485383,0.000608,0.227503,0.228778
25,"--host fct-deei-linux:2",2,6,0.635,0.611,0.081,0.501315,0.000517,0.230597,0.231842
26,"--host fct-deei-linux:2",2,6,0.624,0.584,0.086,0.497559,0.000585,0.227221,0.228476
27,"--host fct-deei-linux:2",2,6,0.635,0.575,0.122,0.494395,0.000656,0.229591,0.231312
28,"--host fct-deei-linux:2",2,6,0.638,0.609,0.09,0.498914,0.000656,0.228082,0.229446
29,"--host fct-deei-linux:2",2,6,0.644,0.618,0.089,0.499755,0.000551,0.232241,0.233804
30,"--host fct-deei-linux:2",2,6,0.634,0.599,0.103,0.496868,0.000581,0.231686,0.233434
Uptime depois da execução:  10:01:51 up 20:29,  2 users,  load average: 2.56, 1.16, 0.65
Média,"--host fct-deei-linux:2",2,6,0.663033,0.663033,0.092933,0.526373,0.000593,0.259937,0.261306
Uptime antes da execução:  10:01:52 up 20:29,  2 users,  load average: 2.56, 1.16, 0.65
1,"--host fct-deei-linux:2",2,8,0.648,0.606,0.105,0.502790,0.000583,0.234454,0.235747
2,"--host fct-deei-linux:2",2,8,0.618,0.582,0.098,0.486014,0.000542,0.229147,0.230377
3,"--host fct-deei-linux:2",2,8,0.657,0.63,0.096,0.510427,0.000679,0.235633,0.236990
4,"--host fct-deei-linux:2",2,8,0.638,0.59,0.104,0.496509,0.000660,0.231586,0.232998
5,"--host fct-deei-linux:2",2,8,0.631,0.608,0.101,0.495680,0.000560,0.230052,0.231278
6,"--host fct-deei-linux:2",2,8,0.634,0.609,0.093,0.501049,0.000628,0.232065,0.234098
7,"--host fct-deei-linux:2",2,8,0.655,0.605,0.121,0.512829,0.000525,0.234232,0.235509
8,"--host fct-deei-linux:2",2,8,0.651,0.613,0.109,0.515667,0.000593,0.237780,0.239014
9,"--host fct-deei-linux:2",2,8,0.849,1.027,0.107,0.714663,0.000730,0.444489,0.445958
10,"--host fct-deei-linux:2",2,8,0.84,1.017,0.098,0.707310,0.000702,0.437582,0.439037
11,"--host fct-deei-linux:2",2,8,0.641,0.634,0.082,0.502118,0.000590,0.233158,0.234423
12,"--host fct-deei-linux:2",2,8,0.635,0.586,0.11,0.501521,0.000518,0.229556,0.230752
13,"--host fct-deei-linux:2",2,8,0.633,0.589,0.124,0.499568,0.000584,0.233270,0.234538
14,"--host fct-deei-linux:2",2,8,0.627,0.577,0.117,0.493233,0.000527,0.231985,0.233232
15,"--host fct-deei-linux:2",2,8,0.647,0.631,0.097,0.506639,0.000651,0.234271,0.235593
16,"--host fct-deei-linux:2",2,8,0.63,0.598,0.108,0.495351,0.000729,0.227106,0.228565
17,"--host fct-deei-linux:2",2,8,0.647,0.636,0.076,0.506375,0.000690,0.227831,0.229097
18,"--host fct-deei-linux:2",2,8,0.622,0.595,0.084,0.487348,0.000616,0.224179,0.225518
19,"--host fct-deei-linux:2",2,8,0.638,0.626,0.076,0.500053,0.000570,0.227705,0.229464
20,"--host fct-deei-linux:2",2,8,0.631,0.588,0.106,0.491837,0.000720,0.227682,0.229043
21,"--host fct-deei-linux:2",2,8,0.633,0.614,0.081,0.496059,0.000663,0.229975,0.231341
22,"--host fct-deei-linux:2",2,8,0.642,0.626,0.091,0.504774,0.000586,0.237627,0.240137
23,"--host fct-deei-linux:2",2,8,0.631,0.605,0.093,0.494429,0.000553,0.227168,0.228646
24,"--host fct-deei-linux:2",2,8,0.637,0.619,0.081,0.501889,0.000523,0.235233,0.236681
25,"--host fct-deei-linux:2",2,8,0.62,0.595,0.097,0.491612,0.000565,0.230173,0.231471
26,"--host fct-deei-linux:2",2,8,0.623,0.593,0.101,0.485557,0.000698,0.230453,0.232509
27,"--host fct-deei-linux:2",2,8,0.635,0.591,0.117,0.488943,0.000539,0.227608,0.228814
28,"--host fct-deei-linux:2",2,8,0.627,0.624,0.078,0.495824,0.000547,0.226148,0.227383
29,"--host fct-deei-linux:2",2,8,0.642,0.614,0.099,0.504463,0.000708,0.233839,0.236339
30,"--host fct-deei-linux:2",2,8,0.629,0.622,0.075,0.490445,0.000589,0.228758,0.230039
Uptime depois da execução:  10:02:13 up 20:30,  2 users,  load average: 5.03, 1.86, 0.90
Média,"--host fct-deei-linux:2",2,8,0.649700,0.635000,0.097500,0.512700,0.000612,0.245025,0.246486
Uptime antes da execução:  10:02:14 up 20:30,  2 users,  load average: 5.03, 1.86, 0.90
1,"--host fct-deei-linux:3",3,2,0.557,0.784,0.108,0.417552,0.000675,0.146742,0.148041
2,"--host fct-deei-linux:3",3,2,0.57,0.764,0.119,0.421030,0.000670,0.090013,0.151403
3,"--host fct-deei-linux:3",3,2,0.556,0.737,0.147,0.420147,0.000727,0.089877,0.150339
4,"--host fct-deei-linux:3",3,2,0.555,0.743,0.123,0.417256,0.000616,0.144011,0.145305
5,"--host fct-deei-linux:3",3,2,0.541,0.773,0.1,0.410339,0.000648,0.147465,0.148731
6,"--host fct-deei-linux:3",3,2,0.561,0.763,0.13,0.426261,0.000651,0.156077,0.157354
7,"--host fct-deei-linux:3",3,2,0.567,0.775,0.125,0.425705,0.000748,0.155230,0.156851
8,"--host fct-deei-linux:3",3,2,0.559,0.754,0.133,0.422212,0.000765,0.149740,0.151046
9,"--host fct-deei-linux:3",3,2,0.546,0.728,0.151,0.415138,0.000676,0.146693,0.147911
10,"--host fct-deei-linux:3",3,2,0.557,0.75,0.105,0.418615,0.000873,0.133455,0.146439
11,"--host fct-deei-linux:3",3,2,0.566,0.758,0.139,0.425399,0.000757,0.132053,0.154505
12,"--host fct-deei-linux:3",3,2,0.546,0.722,0.125,0.407275,0.000748,0.130345,0.136628
13,"--host fct-deei-linux:3",3,2,0.548,0.723,0.139,0.412415,0.000895,0.134647,0.148753
14,"--host fct-deei-linux:3",3,2,0.562,0.768,0.144,0.423983,0.000802,0.152705,0.154095
15,"--host fct-deei-linux:3",3,2,0.547,0.761,0.125,0.417871,0.000969,0.133744,0.149687
16,"--host fct-deei-linux:3",3,2,0.558,0.773,0.124,0.422291,0.000776,0.150785,0.152034
17,"--host fct-deei-linux:3",3,2,0.547,0.776,0.113,0.420246,0.000638,0.129874,0.151885
18,"--host fct-deei-linux:3",3,2,0.6,0.919,0.095,0.457730,0.000843,0.154262,0.189477
19,"--host fct-deei-linux:3",3,2,0.547,0.713,0.13,0.416447,0.000787,0.131899,0.149390
20,"--host fct-deei-linux:3",3,2,0.55,0.734,0.133,0.415456,0.000832,0.134906,0.150465
21,"--host fct-deei-linux:3",3,2,0.573,0.774,0.124,0.430674,0.000781,0.134954,0.151444
22,"--host fct-deei-linux:3",3,2,0.566,0.734,0.151,0.417470,0.000999,0.147483,0.148825
23,"--host fct-deei-linux:3",3,2,0.555,0.713,0.115,0.408582,0.000681,0.141948,0.143174
24,"--host fct-deei-linux:3",3,2,0.563,0.752,0.138,0.417099,0.000811,0.146168,0.147455
25,"--host fct-deei-linux:3",3,2,0.553,0.73,0.145,0.419179,0.000762,0.147434,0.148807
26,"--host fct-deei-linux:3",3,2,0.552,0.766,0.108,0.411940,0.000822,0.145883,0.147241
27,"--host fct-deei-linux:3",3,2,0.55,0.763,0.112,0.414154,0.001102,0.145774,0.147154
28,"--host fct-deei-linux:3",3,2,0.568,0.774,0.127,0.426894,0.001020,0.157090,0.158564
29,"--host fct-deei-linux:3",3,2,0.556,0.77,0.089,0.413276,0.000762,0.145263,0.146552
30,"--host fct-deei-linux:3",3,2,0.555,0.773,0.101,0.420769,0.000646,0.152038,0.153232
Uptime depois da execução:  10:02:32 up 20:30,  2 users,  load average: 3.75, 1.78, 0.89
Média,"--host fct-deei-linux:3",3,2,0.557700,0.758900,0.123933,0.419783,0.000783,0.140285,0.151093
Uptime antes da execução:  10:02:33 up 20:30,  2 users,  load average: 3.75, 1.78, 0.89
1,"--host fct-deei-linux:3",3,4,0.563,0.736,0.137,0.424685,0.000640,0.149344,0.150736
2,"--host fct-deei-linux:3",3,4,0.549,0.75,0.124,0.409504,0.000717,0.132974,0.140616
3,"--host fct-deei-linux:3",3,4,0.54,0.734,0.127,0.408018,0.000726,0.140120,0.141365
4,"--host fct-deei-linux:3",3,4,0.553,0.744,0.133,0.415455,0.001154,0.127919,0.140368
5,"--host fct-deei-linux:3",3,4,0.531,0.72,0.117,0.403296,0.000743,0.133503,0.134830
6,"--host fct-deei-linux:3",3,4,0.543,0.691,0.161,0.400121,0.000861,0.134504,0.135845
7,"--host fct-deei-linux:3",3,4,0.55,0.749,0.114,0.414418,0.000705,0.133366,0.134633
8,"--host fct-deei-linux:3",3,4,0.564,0.734,0.13,0.418905,0.000661,0.131128,0.155299
9,"--host fct-deei-linux:3",3,4,0.547,0.74,0.139,0.412683,0.000796,0.127615,0.140506
10,"--host fct-deei-linux:3",3,4,0.607,0.927,0.143,0.464358,0.000879,0.187679,0.189061
11,"--host fct-deei-linux:3",3,4,0.616,0.957,0.133,0.466150,0.000947,0.188555,0.189980
12,"--host fct-deei-linux:3",3,4,0.548,0.744,0.15,0.416005,0.000807,0.142486,0.143832
13,"--host fct-deei-linux:3",3,4,0.55,0.702,0.153,0.403674,0.000645,0.133082,0.134253
14,"--host fct-deei-linux:3",3,4,0.542,0.74,0.115,0.403158,0.000754,0.127503,0.138915
15,"--host fct-deei-linux:3",3,4,0.541,0.754,0.115,0.408266,0.000691,0.134748,0.144099
