Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  15:30:52 up 8 days,  1:16,  9 users,  load average: 9.91, 8.40, 6.27
1,"--host fct-deei-linux:2",2,2,0.484,0.055,0.052,0.296892,0.000026,0.015147,0.015169
2,"--host fct-deei-linux:2",2,2,0.416,0.037,0.078,0.274019,0.000028,0.011174,0.011197
3,"--host fct-deei-linux:2",2,2,0.421,0.062,0.052,0.264747,0.000079,0.010477,0.010498
Uptime depois da execução:  15:30:54 up 8 days,  1:16,  9 users,  load average: 9.83, 8.41, 6.29
Média,"--host fct-deei-linux:2",2,2,0.440333,0.051333,0.060667,0.278553,0.000044,0.012266,0.012288
Uptime antes da execução:  15:30:54 up 8 days,  1:16,  9 users,  load average: 9.83, 8.41, 6.29
1,"--host fct-deei-linux:2",2,4,0.412,0.046,0.06,0.262249,0.000036,0.006596,0.006617
2,"--host fct-deei-linux:2",2,4,0.428,0.053,0.059,0.272835,0.000044,0.008340,0.008363
3,"--host fct-deei-linux:2",2,4,0.393,0.068,0.039,0.260734,0.000030,0.007310,0.007331
Uptime depois da execução:  15:30:56 up 8 days,  1:16,  8 users,  load average: 9.83, 8.41, 6.29
Média,"--host fct-deei-linux:2",2,4,0.411000,0.055667,0.052667,0.265273,0.000037,0.007415,0.007437
Uptime antes da execução:  15:30:57 up 8 days,  1:16,  8 users,  load average: 9.83, 8.41, 6.29
1,"--host fct-deei-linux:2",2,6,0.436,0.069,0.045,0.277099,0.003451,0.011938,0.011955
2,"--host fct-deei-linux:2",2,6,0.424,0.072,0.035,0.265346,0.001767,0.011933,0.011974
3,"--host fct-deei-linux:2",2,6,0.44,0.058,0.059,0.273015,0.005127,0.011939,0.011959
Uptime depois da execução:  15:30:59 up 8 days,  1:16,  8 users,  load average: 9.69, 8.40, 6.30
Média,"--host fct-deei-linux:2",2,6,0.433333,0.066333,0.046333,0.271820,0.003448,0.011937,0.011963
Uptime antes da execução:  15:31:00 up 8 days,  1:16,  8 users,  load average: 9.69, 8.40, 6.30
1,"--host fct-deei-linux:2",2,8,0.488,0.063,0.055,0.277309,0.000028,0.007945,0.011916
2,"--host fct-deei-linux:2",2,8,0.484,0.052,0.062,0.293164,0.000027,0.018667,0.018695
3,"--host fct-deei-linux:2",2,8,0.512,0.074,0.052,0.312819,0.000030,0.023948,0.023985
Uptime depois da execução:  15:31:02 up 8 days,  1:16,  8 users,  load average: 9.69, 8.40, 6.30
Média,"--host fct-deei-linux:2",2,8,0.494667,0.063000,0.056333,0.294431,0.000028,0.016853,0.018199
Uptime antes da execução:  15:31:03 up 8 days,  1:17,  8 users,  load average: 9.69, 8.40, 6.30
1,"--host fct-deei-linux:3",3,2,0.61,0.132,0.077,0.408967,0.030676,0.016001,0.072024
2,"--host fct-deei-linux:3",3,2,0.601,0.164,0.059,0.387951,0.035549,0.010976,0.062993
3,"--host fct-deei-linux:3",3,2,0.514,0.106,0.078,0.328915,0.004411,0.019062,0.043070
Uptime depois da execução:  15:31:06 up 8 days,  1:17,  8 users,  load average: 9.63, 8.41, 6.31
Média,"--host fct-deei-linux:3",3,2,0.575000,0.134000,0.071333,0.375277,0.023545,0.015346,0.059362
Uptime antes da execução:  15:31:06 up 8 days,  1:17,  8 users,  load average: 9.63, 8.41, 6.31
1,"--host fct-deei-linux:3",3,4,0.577,0.161,0.069,0.399891,0.032668,0.021459,0.055137
