Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
30,"--host fct-deei-linux:3",3,2,0.387,0.141,0.085,0.278250,0.000264,0.005140,0.007088
1,"--host fct-deei-linux:4",4,2,0.421,0.243,0.115,0.315021,0.012083,0.005190,0.044945
2,"--host fct-deei-linux:4",4,2,0.393,0.156,0.097,0.285907,0.003830,0.009103,0.010694
3,"--host fct-deei-linux:4",4,2,0.437,0.319,0.108,0.330680,0.027156,0.009005,0.029003
4,"--host fct-deei-linux:4",4,2,0.396,0.133,0.14,0.275564,0.000671,0.002518,0.010984
5,"--host fct-deei-linux:4",4,2,0.43,0.235,0.129,0.325588,0.023280,0.005163,0.027996
6,"--host fct-deei-linux:4",4,2,0.417,0.265,0.087,0.308230,0.011696,0.011698,0.032716
7,"--host fct-deei-linux:4",4,2,0.422,0.206,0.1,0.325668,0.009186,0.002604,0.028932
8,"--host fct-deei-linux:4",4,2,0.375,0.158,0.1,0.274339,0.000517,0.011801,0.012158
9,"--host fct-deei-linux:4",4,2,0.401,0.165,0.121,0.295661,0.000250,0.015142,0.015500
10,"--host fct-deei-linux:4",4,2,0.395,0.224,0.085,0.291352,0.006095,0.017874,0.020717
11,"--host fct-deei-linux:4",4,2,0.403,0.178,0.142,0.295736,0.010777,0.012199,0.017828
12,"--host fct-deei-linux:4",4,2,0.389,0.185,0.085,0.278502,0.000803,0.010498,0.016092
13,"--host fct-deei-linux:4",4,2,0.403,0.204,0.105,0.292766,0.001102,0.014296,0.020896
14,"--host fct-deei-linux:4",4,2,0.412,0.221,0.114,0.307148,0.007730,0.010567,0.031088
15,"--host fct-deei-linux:4",4,2,0.416,0.182,0.099,0.294715,0.001471,0.012579,0.012924
16,"--host fct-deei-linux:4",4,2,0.436,0.283,0.112,0.326009,0.022670,0.019055,0.033349
17,"--host fct-deei-linux:4",4,2,0.446,0.312,0.108,0.339201,0.031340,0.020128,0.033728
18,"--host fct-deei-linux:4",4,2,0.394,0.191,0.083,0.292978,0.008874,0.005040,0.024610
19,"--host fct-deei-linux:4",4,2,0.396,0.208,0.07,0.286494,0.000610,0.023234,0.024907
20,"--host fct-deei-linux:4",4,2,0.426,0.177,0.133,0.320891,0.018281,0.005220,0.032883
21,"--host fct-deei-linux:4",4,2,0.411,0.189,0.108,0.294251,0.009495,0.010666,0.016849
22,"--host fct-deei-linux:4",4,2,0.391,0.161,0.111,0.288809,0.000261,0.003624,0.009140
23,"--host fct-deei-linux:4",4,2,0.411,0.146,0.143,0.287325,0.002135,0.012553,0.013231
24,"--host fct-deei-linux:4",4,2,0.412,0.173,0.152,0.291529,0.008530,0.012092,0.012603
25,"--host fct-deei-linux:4",4,2,0.414,0.198,0.142,0.306441,0.018374,0.014752,0.024393
26,"--host fct-deei-linux:4",4,2,0.401,0.192,0.132,0.298360,0.005980,0.007511,0.022108
27,"--host fct-deei-linux:4",4,2,0.45,0.202,0.111,0.328608,0.015000,0.010726,0.026098
28,"--host fct-deei-linux:4",4,2,0.396,0.181,0.094,0.292840,0.000895,0.020331,0.020699
29,"--host fct-deei-linux:4",4,2,0.376,0.137,0.117,0.274260,0.003597,0.008848,0.010023
30,"--host fct-deei-linux:4",4,2,0.404,0.155,0.139,0.291758,0.001394,0.006698,0.021084
1,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.802,0.489,0.448,2.307730,0.025485,0.006293,0.012203
2,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.815,0.54,0.375,2.318436,0.032409,0.002847,0.010405
3,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.834,0.519,0.401,2.313559,0.024731,0.010735,0.017047
4,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.821,0.4,0.416,2.307449,0.013259,0.002820,0.012035
5,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.789,0.449,0.409,2.332057,0.035566,0.002915,0.017015
6,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2,2.823,0.539,0.429,2.315744,0.030055,0.003903,0.011916
