Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  14:58:38 up 1 day, 13:43, 20 users,  load average: 12.51, 10.30, 8.34
1,"--host fct-deei-linux:2",2,2,0.749,0.128,0.058,0.405035,0.000200,0.092693,0.097504
2,"--host fct-deei-linux:2",2,2,0.49,0.112,0.065,0.316740,0.000206,0.049735,0.053348
3,"--host fct-deei-linux:2",2,2,0.513,0.139,0.055,0.323347,0.000232,0.058983,0.082256
4,"--host fct-deei-linux:2",2,2,0.464,0.156,0.059,0.334304,0.000886,0.031872,0.073766
5,"--host fct-deei-linux:2",2,2,0.5,0.127,0.06,0.326363,0.000183,0.050416,0.068072
6,"--host fct-deei-linux:2",2,2,0.576,0.14,0.042,0.347394,0.000465,0.072691,0.073362
7,"--host fct-deei-linux:2",2,2,0.733,0.139,0.055,0.424894,0.000185,0.117046,0.117495
8,"--host fct-deei-linux:2",2,2,0.721,0.137,0.046,0.403026,0.000164,0.097804,0.098924
9,"--host fct-deei-linux:2",2,2,0.707,0.142,0.053,0.406571,0.000191,0.058696,0.084628
10,"--host fct-deei-linux:2",2,2,0.509,0.115,0.067,0.327628,0.000639,0.050946,0.051298
11,"--host fct-deei-linux:2",2,2,0.539,0.13,0.059,0.324547,0.000708,0.033612,0.053378
12,"--host fct-deei-linux:2",2,2,0.574,0.145,0.055,0.361479,0.000291,0.094376,0.094864
13,"--host fct-deei-linux:2",2,2,0.556,0.14,0.058,0.372723,0.008774,0.069707,0.097374
14,"--host fct-deei-linux:2",2,2,0.734,0.106,0.081,0.422462,0.000167,0.108320,0.108669
15,"--host fct-deei-linux:2",2,2,0.795,0.138,0.055,0.440957,0.000751,0.139984,0.140970
16,"--host fct-deei-linux:2",2,2,0.739,0.139,0.054,0.447272,0.001455,0.084972,0.135982
17,"--host fct-deei-linux:2",2,2,0.56,0.11,0.07,0.331730,0.000345,0.054666,0.055438
18,"--host fct-deei-linux:2",2,2,0.482,0.105,0.066,0.311621,0.000202,0.053351,0.053790
19,"--host fct-deei-linux:2",2,2,0.501,0.129,0.053,0.338734,0.000935,0.075423,0.075846
20,"--host fct-deei-linux:2",2,2,0.467,0.11,0.069,0.306759,0.000164,0.054004,0.054405
21,"--host fct-deei-linux:2",2,2,0.547,0.125,0.058,0.326996,0.000213,0.049822,0.056782
22,"--host fct-deei-linux:2",2,2,0.689,0.118,0.064,0.414916,0.000167,0.103223,0.103588
23,"--host fct-deei-linux:2",2,2,0.731,0.138,0.043,0.423631,0.000281,0.102009,0.102371
24,"--host fct-deei-linux:2",2,2,0.753,0.132,0.06,0.446112,0.000164,0.105659,0.106023
25,"--host fct-deei-linux:2",2,2,0.51,0.128,0.074,0.340374,0.000209,0.057115,0.070972
26,"--host fct-deei-linux:2",2,2,0.54,0.123,0.075,0.363372,0.000172,0.055935,0.097338
27,"--host fct-deei-linux:2",2,2,0.5,0.114,0.074,0.322467,0.000480,0.053022,0.069805
28,"--host fct-deei-linux:2",2,2,0.502,0.151,0.041,0.334213,0.000841,0.054990,0.070525
29,"--host fct-deei-linux:2",2,2,0.583,0.136,0.048,0.374055,0.000934,0.074469,0.079045
30,"--host fct-deei-linux:2",2,2,0.789,0.139,0.051,0.456965,0.000436,0.108195,0.125175
Uptime depois da execução:  14:59:06 up 1 day, 13:44, 20 users,  load average: 13.59, 10.81, 8.57
Média,"--host fct-deei-linux:2",2,2,0.601767,0.129700,0.058933,0.369227,0.000701,0.073791,0.085100
Uptime antes da execução:  14:59:07 up 1 day, 13:44, 20 users,  load average: 13.59, 10.81, 8.57
1,"--host fct-deei-linux:2",2,4,0.689,0.14,0.056,0.399273,0.000183,0.061922,0.083449
2,"--host fct-deei-linux:2",2,4,0.517,0.117,0.059,0.297936,0.000200,0.044620,0.045962
3,"--host fct-deei-linux:2",2,4,0.506,0.117,0.06,0.316742,0.000176,0.042059,0.042804
4,"--host fct-deei-linux:2",2,4,0.479,0.127,0.068,0.313639,0.000643,0.033902,0.055893
5,"--host fct-deei-linux:2",2,4,0.458,0.121,0.055,0.302224,0.000159,0.047774,0.048137
6,"--host fct-deei-linux:2",2,4,0.544,0.115,0.06,0.344041,0.000616,0.070231,0.071227
7,"--host fct-deei-linux:2",2,4,0.639,0.139,0.034,0.385267,0.000176,0.060466,0.062028
8,"--host fct-deei-linux:2",2,4,0.647,0.121,0.057,0.367368,0.000695,0.072693,0.073046
9,"--host fct-deei-linux:2",2,4,0.636,0.129,0.061,0.367662,0.000151,0.066780,0.067172
10,"--host fct-deei-linux:2",2,4,0.505,0.116,0.056,0.306535,0.000170,0.041708,0.042029
11,"--host fct-deei-linux:2",2,4,0.476,0.136,0.054,0.322477,0.000152,0.034400,0.054394
12,"--host fct-deei-linux:2",2,4,0.485,0.118,0.054,0.297628,0.003145,0.041956,0.042267
13,"--host fct-deei-linux:2",2,4,0.472,0.106,0.069,0.300397,0.000174,0.040020,0.050048
14,"--host fct-deei-linux:2",2,4,0.611,0.138,0.039,0.365476,0.009368,0.058578,0.080083
15,"--host fct-deei-linux:2",2,4,0.667,0.118,0.058,0.371039,0.000180,0.073804,0.074184
16,"--host fct-deei-linux:2",2,4,0.669,0.128,0.057,0.386261,0.000179,0.081262,0.081660
17,"--host fct-deei-linux:2",2,4,0.648,0.121,0.055,0.352221,0.000175,0.045251,0.051308
18,"--host fct-deei-linux:2",2,4,0.468,0.125,0.047,0.309231,0.000185,0.044762,0.045548
19,"--host fct-deei-linux:2",2,4,0.467,0.119,0.052,0.299239,0.000479,0.047710,0.048438
20,"--host fct-deei-linux:2",2,4,0.452,0.111,0.056,0.295320,0.000167,0.041959,0.042271
21,"--host fct-deei-linux:2",2,4,0.483,0.113,0.059,0.321769,0.000157,0.055023,0.055416
22,"--host fct-deei-linux:2",2,4,0.538,0.095,0.08,0.329723,0.000161,0.054408,0.054731
23,"--host fct-deei-linux:2",2,4,0.64,0.122,0.052,0.372401,0.000162,0.071177,0.071573
24,"--host fct-deei-linux:2",2,4,0.696,0.128,0.054,0.378538,0.000155,0.059243,0.070162
25,"--host fct-deei-linux:2",2,4,0.663,0.132,0.046,0.374039,0.000162,0.051507,0.061021
26,"--host fct-deei-linux:2",2,4,0.475,0.109,0.061,0.315044,0.000200,0.053766,0.054893
27,"--host fct-deei-linux:2",2,4,0.46,0.114,0.06,0.311298,0.000157,0.052688,0.053020
28,"--host fct-deei-linux:2",2,4,0.464,0.121,0.055,0.298908,0.000178,0.035138,0.044441
29,"--host fct-deei-linux:2",2,4,0.483,0.113,0.056,0.302997,0.000174,0.035193,0.035525
30,"--host fct-deei-linux:2",2,4,0.511,0.11,0.058,0.323488,0.000157,0.047363,0.049113
Uptime depois da execução:  14:59:34 up 1 day, 13:44, 20 users,  load average: 13.57, 11.02, 8.70
Média,"--host fct-deei-linux:2",2,4,0.548267,0.120633,0.056267,0.334273,0.000635,0.052246,0.057061
Uptime antes da execução:  14:59:35 up 1 day, 13:44, 20 users,  load average: 14.01, 11.15, 8.76
1,"--host fct-deei-linux:2",2,6,0.71,0.124,0.055,0.383343,0.000176,0.063465,0.063793
2,"--host fct-deei-linux:2",2,6,0.644,0.116,0.062,0.397626,0.000159,0.068483,0.068895
3,"--host fct-deei-linux:2",2,6,0.476,0.111,0.062,0.298545,0.000179,0.033333,0.037339
4,"--host fct-deei-linux:2",2,6,0.456,0.136,0.038,0.297231,0.000158,0.036815,0.046586
5,"--host fct-deei-linux:2",2,6,0.516,0.109,0.062,0.308887,0.000186,0.038103,0.043465
6,"--host fct-deei-linux:2",2,6,0.472,0.109,0.061,0.299939,0.000157,0.043075,0.043412
7,"--host fct-deei-linux:2",2,6,0.552,0.136,0.044,0.343520,0.003477,0.073452,0.074239
8,"--host fct-deei-linux:2",2,6,0.671,0.123,0.053,0.384818,0.000166,0.067977,0.071967
9,"--host fct-deei-linux:2",2,6,0.624,0.136,0.037,0.382018,0.001651,0.054486,0.054816
10,"--host fct-deei-linux:2",2,6,0.619,0.121,0.063,0.356184,0.000166,0.052012,0.052376
11,"--host fct-deei-linux:2",2,6,0.515,0.109,0.059,0.296926,0.000168,0.036421,0.037364
12,"--host fct-deei-linux:2",2,6,0.471,0.112,0.062,0.315651,0.000193,0.061189,0.062372
13,"--host fct-deei-linux:2",2,6,0.484,0.101,0.075,0.322876,0.000161,0.052500,0.052838
14,"--host fct-deei-linux:2",2,6,0.471,0.105,0.072,0.299098,0.000164,0.038919,0.039238
15,"--host fct-deei-linux:2",2,6,0.556,0.134,0.039,0.340867,0.001729,0.059701,0.060034
16,"--host fct-deei-linux:2",2,6,0.729,0.117,0.073,0.423875,0.016990,0.066410,0.090621
17,"--host fct-deei-linux:2",2,6,0.656,0.118,0.058,0.371938,0.000182,0.060311,0.060671
18,"--host fct-deei-linux:2",2,6,0.647,0.139,0.038,0.368000,0.003303,0.061939,0.062934
19,"--host fct-deei-linux:2",2,6,0.493,0.102,0.075,0.305102,0.000172,0.037730,0.041091
20,"--host fct-deei-linux:2",2,6,0.488,0.121,0.057,0.313009,0.000230,0.047300,0.047854
21,"--host fct-deei-linux:2",2,6,0.536,0.158,0.038,0.333096,0.000192,0.059469,0.059849
22,"--host fct-deei-linux:2",2,6,0.479,0.113,0.056,0.313551,0.000162,0.045378,0.047296
23,"--host fct-deei-linux:2",2,6,0.477,0.126,0.056,0.308196,0.000169,0.051223,0.051589
24,"--host fct-deei-linux:2",2,6,0.657,0.112,0.067,0.378183,0.003661,0.060418,0.061150
25,"--host fct-deei-linux:2",2,6,0.705,0.13,0.051,0.404509,0.000936,0.054821,0.055167
26,"--host fct-deei-linux:2",2,6,0.628,0.107,0.066,0.356255,0.000176,0.053628,0.053972
27,"--host fct-deei-linux:2",2,6,0.516,0.135,0.033,0.334818,0.000175,0.043650,0.043977
28,"--host fct-deei-linux:2",2,6,0.508,0.105,0.068,0.315686,0.000153,0.039546,0.047499
29,"--host fct-deei-linux:2",2,6,0.523,0.139,0.067,0.335337,0.000184,0.046659,0.049570
30,"--host fct-deei-linux:2",2,6,0.492,0.128,0.045,0.309358,0.000159,0.043473,0.045155
Uptime depois da execução:  15:00:01 up 1 day, 13:45, 20 users,  load average: 12.74, 11.09, 8.80
Média,"--host fct-deei-linux:2",2,6,0.559033,0.121067,0.056400,0.339950,0.001191,0.051730,0.054238
Uptime antes da execução:  15:00:02 up 1 day, 13:45, 20 users,  load average: 12.74, 11.09, 8.80
1,"--host fct-deei-linux:2",2,8,0.663,0.156,0.059,0.417815,0.004083,0.087346,0.088470
2,"--host fct-deei-linux:2",2,8,0.71,0.117,0.083,0.408885,0.000194,0.065328,0.066338
3,"--host fct-deei-linux:2",2,8,0.697,0.128,0.06,0.385910,0.001112,0.052660,0.058613
4,"--host fct-deei-linux:2",2,8,0.648,0.138,0.049,0.375562,0.000167,0.059658,0.060297
5,"--host fct-deei-linux:2",2,8,0.512,0.14,0.037,0.315204,0.000262,0.044851,0.045196
6,"--host fct-deei-linux:2",2,8,0.486,0.117,0.072,0.315056,0.000180,0.045446,0.056119
7,"--host fct-deei-linux:2",2,8,0.48,0.113,0.069,0.306011,0.000182,0.037804,0.052645
8,"--host fct-deei-linux:2",2,8,0.481,0.11,0.062,0.320095,0.000191,0.044859,0.045225
9,"--host fct-deei-linux:2",2,8,0.53,0.122,0.069,0.336415,0.000540,0.042092,0.070905
10,"--host fct-deei-linux:2",2,8,0.498,0.109,0.066,0.308170,0.000159,0.041208,0.041538
11,"--host fct-deei-linux:2",2,8,0.459,0.123,0.057,0.303883,0.000158,0.046639,0.047168
12,"--host fct-deei-linux:2",2,8,0.46,0.116,0.062,0.299704,0.000155,0.032261,0.046855
13,"--host fct-deei-linux:2",2,8,0.487,0.123,0.047,0.298637,0.000163,0.045311,0.045684
14,"--host fct-deei-linux:2",2,8,0.48,0.111,0.061,0.309028,0.000178,0.038914,0.039290
15,"--host fct-deei-linux:2",2,8,0.47,0.11,0.07,0.316576,0.000183,0.052372,0.052704
16,"--host fct-deei-linux:2",2,8,0.457,0.109,0.063,0.300149,0.000179,0.037282,0.042217
17,"--host fct-deei-linux:2",2,8,0.47,0.11,0.066,0.302668,0.000180,0.036802,0.042837
