Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  16:16:03 up 1 day, 15:01, 21 users,  load average: 7.44, 9.75, 12.39
1,"--host fct-deei-linux:2",2,2,17.757,28.073,0.325,17.165698,0.006604,16.604210,16.621869
2,"--host fct-deei-linux:2",2,2,17.888,28.451,0.254,17.257453,0.033051,16.658800,16.685557
3,"--host fct-deei-linux:2",2,2,17.863,28.12,0.289,17.175014,0.008393,16.613541,16.638339
4,"--host fct-deei-linux:2",2,2,17.999,28.237,0.362,17.324655,0.010465,16.729290,16.749142
5,"--host fct-deei-linux:2",2,2,17.959,28.42,0.295,17.383861,0.021838,16.809948,16.838768
6,"--host fct-deei-linux:2",2,2,18.561,28.407,0.293,17.898073,0.011078,17.107976,17.414405
7,"--host fct-deei-linux:2",2,2,19.033,28.334,0.306,18.363662,0.011242,17.789961,17.810523
8,"--host fct-deei-linux:2",2,2,19.391,28.362,0.306,18.693719,0.028386,17.965447,18.005010
9,"--host fct-deei-linux:2",2,2,19.528,28.305,0.384,18.692732,0.012776,18.152723,18.167609
10,"--host fct-deei-linux:2",2,2,19.051,28.308,0.323,18.219272,0.018502,17.541067,17.714505
11,"--host fct-deei-linux:2",2,2,19.588,28.652,0.386,18.908137,0.011928,18.155692,18.291817
12,"--host fct-deei-linux:2",2,2,19.867,28.703,0.277,19.133698,0.011575,18.428670,18.449021
13,"--host fct-deei-linux:2",2,2,20.059,28.754,0.309,19.352970,0.015783,18.736436,18.763914
14,"--host fct-deei-linux:2",2,2,19.331,28.457,0.262,18.735141,0.019499,18.151253,18.167454
15,"--host fct-deei-linux:2",2,2,26.356,28.364,0.288,25.566708,0.011826,25.097061,25.114184
16,"--host fct-deei-linux:2",2,2,26.607,28.391,0.312,25.954135,0.010992,25.374933,25.391878
