Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  15:16:31 up 1 day, 14:01, 19 users,  load average: 6.11, 6.31, 7.45
1,"--host fct-deei-linux:2",2,2,0.693,0.543,0.06,0.525314,0.001261,0.262644,0.264546
2,"--host fct-deei-linux:2",2,2,0.792,0.543,0.07,0.633129,0.001236,0.336108,0.368895
3,"--host fct-deei-linux:2",2,2,0.749,0.554,0.083,0.635614,0.000514,0.298060,0.357033
4,"--host fct-deei-linux:2",2,2,0.707,0.56,0.051,0.536841,0.009603,0.259517,0.261129
5,"--host fct-deei-linux:2",2,2,0.76,0.557,0.064,0.566257,0.001213,0.266365,0.292162
6,"--host fct-deei-linux:2",2,2,0.775,0.575,0.064,0.601435,0.001480,0.274113,0.330907
7,"--host fct-deei-linux:2",2,2,0.761,0.603,0.059,0.583690,0.004278,0.312565,0.313853
8,"--host fct-deei-linux:2",2,2,0.743,0.531,0.071,0.573832,0.001416,0.299323,0.301321
9,"--host fct-deei-linux:2",2,2,0.715,0.531,0.058,0.554280,0.001199,0.283245,0.292496
10,"--host fct-deei-linux:2",2,2,0.851,0.546,0.059,0.667964,0.001173,0.390642,0.392501
11,"--host fct-deei-linux:2",2,2,0.792,0.576,0.037,0.591983,0.000624,0.313876,0.315428
12,"--host fct-deei-linux:2",2,2,0.719,0.542,0.058,0.538204,0.001179,0.262647,0.264571
13,"--host fct-deei-linux:2",2,2,0.819,0.541,0.064,0.619211,0.000501,0.311272,0.337477
14,"--host fct-deei-linux:2",2,2,0.711,0.525,0.054,0.531552,0.001211,0.270483,0.276909
15,"--host fct-deei-linux:2",2,2,0.713,0.547,0.049,0.548199,0.001234,0.283329,0.285556
16,"--host fct-deei-linux:2",2,2,0.779,0.53,0.059,0.604540,0.005609,0.340764,0.342535
17,"--host fct-deei-linux:2",2,2,0.786,0.607,0.049,0.572201,0.007711,0.295988,0.299331
18,"--host fct-deei-linux:2",2,2,0.767,0.544,0.06,0.573770,0.012560,0.298063,0.299953
19,"--host fct-deei-linux:2",2,2,0.78,0.568,0.056,0.586054,0.002975,0.319435,0.320698
20,"--host fct-deei-linux:2",2,2,0.762,0.571,0.06,0.580218,0.003133,0.228997,0.294960
21,"--host fct-deei-linux:2",2,2,0.742,0.567,0.041,0.557599,0.017796,0.255231,0.282160
22,"--host fct-deei-linux:2",2,2,0.607,0.535,0.086,0.495539,0.000576,0.239243,0.240494
23,"--host fct-deei-linux:2",2,2,0.692,0.553,0.05,0.522530,0.001029,0.236146,0.268154
24,"--host fct-deei-linux:2",2,2,0.811,0.599,0.06,0.618265,0.001250,0.265224,0.347011
25,"--host fct-deei-linux:2",2,2,0.784,0.546,0.054,0.606060,0.007776,0.312624,0.314387
26,"--host fct-deei-linux:2",2,2,0.73,0.543,0.048,0.548926,0.011822,0.269962,0.271546
27,"--host fct-deei-linux:2",2,2,0.792,0.506,0.078,0.605196,0.001226,0.306043,0.308218
28,"--host fct-deei-linux:2",2,2,0.764,0.541,0.073,0.564691,0.003228,0.290258,0.292188
29,"--host fct-deei-linux:2",2,2,0.712,0.528,0.055,0.532963,0.002490,0.253209,0.258901
30,"--host fct-deei-linux:2",2,2,0.767,0.572,0.046,0.606565,0.016429,0.282265,0.315118
Uptime depois da execução:  15:17:00 up 1 day, 14:02, 19 users,  load average: 6.35, 6.33, 7.42
Média,"--host fct-deei-linux:2",2,2,0.752500,0.552800,0.059200,0.576090,0.004124,0.287254,0.303682
Uptime antes da execução:  15:17:01 up 1 day, 14:02, 19 users,  load average: 6.35, 6.33, 7.42
1,"--host fct-deei-linux:2",2,4,0.72,0.553,0.052,0.526141,0.001204,0.234995,0.250874
2,"--host fct-deei-linux:2",2,4,0.692,0.509,0.093,0.527111,0.001226,0.251861,0.253820
3,"--host fct-deei-linux:2",2,4,0.741,0.568,0.044,0.548612,0.022562,0.233746,0.255493
4,"--host fct-deei-linux:2",2,4,0.759,0.577,0.058,0.563582,0.003331,0.291091,0.292856
5,"--host fct-deei-linux:2",2,4,0.685,0.556,0.048,0.512692,0.000568,0.247896,0.249528
6,"--host fct-deei-linux:2",2,4,0.724,0.528,0.06,0.502375,0.000580,0.230212,0.231506
7,"--host fct-deei-linux:2",2,4,0.775,0.58,0.063,0.566062,0.019232,0.261740,0.263496
8,"--host fct-deei-linux:2",2,4,0.696,0.539,0.06,0.531042,0.011592,0.256348,0.257942
9,"--host fct-deei-linux:2",2,4,0.691,0.555,0.05,0.523659,0.000575,0.229122,0.250527
10,"--host fct-deei-linux:2",2,4,0.703,0.539,0.059,0.535434,0.009554,0.263318,0.264981
11,"--host fct-deei-linux:2",2,4,0.7,0.515,0.072,0.515730,0.000608,0.247833,0.249466
12,"--host fct-deei-linux:2",2,4,0.765,0.547,0.047,0.548849,0.013796,0.267808,0.269436
13,"--host fct-deei-linux:2",2,4,0.704,0.545,0.068,0.525478,0.000538,0.250912,0.252671
14,"--host fct-deei-linux:2",2,4,0.704,0.534,0.063,0.536721,0.012606,0.243906,0.245934
15,"--host fct-deei-linux:2",2,4,0.712,0.541,0.074,0.535713,0.014019,0.228932,0.258307
16,"--host fct-deei-linux:2",2,4,0.704,0.515,0.063,0.518347,0.000609,0.238375,0.239999
17,"--host fct-deei-linux:2",2,4,0.661,0.526,0.076,0.527114,0.000536,0.249411,0.251118
18,"--host fct-deei-linux:2",2,4,0.744,0.528,0.057,0.572206,0.000533,0.299464,0.300662
19,"--host fct-deei-linux:2",2,4,0.723,0.545,0.063,0.530469,0.000608,0.240434,0.242164
20,"--host fct-deei-linux:2",2,4,0.7,0.547,0.072,0.535949,0.015671,0.252020,0.253593
21,"--host fct-deei-linux:2",2,4,0.728,0.535,0.076,0.571149,0.005585,0.298514,0.300642
22,"--host fct-deei-linux:2",2,4,0.731,0.577,0.064,0.570489,0.000626,0.291768,0.293571
23,"--host fct-deei-linux:2",2,4,0.7,0.557,0.046,0.523057,0.007908,0.244113,0.245326
24,"--host fct-deei-linux:2",2,4,0.724,0.537,0.071,0.533043,0.004381,0.234740,0.267186
25,"--host fct-deei-linux:2",2,4,0.756,0.536,0.048,0.549447,0.006439,0.250770,0.252001
26,"--host fct-deei-linux:2",2,4,0.7,0.577,0.051,0.544280,0.000577,0.271621,0.273283
