Execução,MPI_Config,np,OMP_Threads,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
26,"--host fct-deei-linux:2",2,4,2.646,3.716,0.144,2.274183,0.003435,1.899820,1.946969
27,"--host fct-deei-linux:2",2,4,2.735,4.077,0.11,2.471897,0.004103,2.117436,2.126105
28,"--host fct-deei-linux:2",2,4,2.936,4.165,0.089,2.652507,0.001832,2.310521,2.316876
29,"--host fct-deei-linux:2",2,4,2.534,3.77,0.109,2.302008,0.003403,1.932556,1.939883
30,"--host fct-deei-linux:2",2,4,3.036,4.281,0.074,2.768666,0.016148,2.406160,2.410924
Uptime depois da execução:  15:40:16 up 1 day, 14:25, 19 users,  load average: 12.29, 10.76, 10.11
Média,"--host fct-deei-linux:2",2,4,2.714967,3.862533,0.107100,2.435250,0.005426,2.051767,2.090173
Uptime antes da execução:  15:40:19 up 1 day, 14:25, 19 users,  load average: 12.29, 10.76, 10.11
1,"--host fct-deei-linux:2",2,6,2.529,3.902,0.103,2.291486,0.002090,1.962614,1.968333
2,"--host fct-deei-linux:2",2,6,2.631,3.816,0.101,2.394549,0.024378,1.926364,2.024058
3,"--host fct-deei-linux:2",2,6,2.983,4.132,0.114,2.648899,0.003772,2.302893,2.308725
4,"--host fct-deei-linux:2",2,6,2.51,3.754,0.088,2.240949,0.003410,1.905850,1.912473
5,"--host fct-deei-linux:2",2,6,2.732,3.943,0.116,2.464623,0.015072,2.098563,2.105156
6,"--host fct-deei-linux:2",2,6,2.707,3.887,0.062,2.443351,0.003444,2.098917,2.105747
7,"--host fct-deei-linux:2",2,6,2.87,4.053,0.083,2.468250,0.006958,2.155785,2.160466
8,"--host fct-deei-linux:2",2,6,2.468,3.794,0.097,2.209621,0.006467,1.915407,1.919957
9,"--host fct-deei-linux:2",2,6,2.668,3.784,0.124,2.356415,0.004335,1.890998,2.006658
10,"--host fct-deei-linux:2",2,6,2.569,3.686,0.09,2.317715,0.003456,1.955595,1.961249
11,"--host fct-deei-linux:2",2,6,2.748,3.912,0.1,2.333097,0.003039,1.987217,1.993213
12,"--host fct-deei-linux:2",2,6,2.421,3.733,0.097,2.161387,0.013961,1.835560,1.840523
13,"--host fct-deei-linux:2",2,6,2.684,4.054,0.056,2.419050,0.001791,2.064560,2.081655
14,"--host fct-deei-linux:2",2,6,2.734,3.913,0.098,2.439972,0.009826,2.129235,2.133950
15,"--host fct-deei-linux:2",2,6,2.6,3.897,0.065,2.272614,0.002336,1.942460,1.947952
16,"--host fct-deei-linux:2",2,6,2.629,3.876,0.105,2.376022,0.003732,2.040665,2.047877
17,"--host fct-deei-linux:2",2,6,2.445,3.765,0.074,2.201638,0.021769,1.824346,1.850282
18,"--host fct-deei-linux:2",2,6,2.87,4.114,0.084,2.529239,0.001721,2.237496,2.241957
19,"--host fct-deei-linux:2",2,6,2.426,3.756,0.079,2.172547,0.001892,1.822333,1.828143
20,"--host fct-deei-linux:2",2,6,2.571,3.765,0.109,2.319084,0.003453,1.962200,1.969699
21,"--host fct-deei-linux:2",2,6,2.814,4.119,0.072,2.583825,0.013716,2.207213,2.213475
22,"--host fct-deei-linux:2",2,6,2.724,3.782,0.089,2.297359,0.003399,1.955814,1.962821
23,"--host fct-deei-linux:2",2,6,2.661,3.89,0.111,2.375070,0.002135,2.021991,2.026474
24,"--host fct-deei-linux:2",2,6,2.594,3.822,0.106,2.318329,0.003527,1.979186,1.987535
25,"--host fct-deei-linux:2",2,6,2.747,4.062,0.064,2.542359,0.021527,2.142765,2.150322
26,"--host fct-deei-linux:2",2,6,2.612,3.78,0.106,2.208733,0.004958,1.876674,1.882081
27,"--host fct-deei-linux:2",2,6,2.5,3.77,0.087,2.234242,0.003755,1.922926,1.928754
28,"--host fct-deei-linux:2",2,6,2.484,3.704,0.137,2.221591,0.014306,1.825400,1.841459
29,"--host fct-deei-linux:2",2,6,2.734,4.044,0.071,2.499666,0.010407,2.154196,2.160407
30,"--host fct-deei-linux:2",2,6,2.389,3.62,0.1,2.147540,0.003686,1.803550,1.810897
Uptime depois da execução:  15:41:45 up 1 day, 14:27, 19 users,  load average: 13.90, 11.65, 10.48
Média,"--host fct-deei-linux:2",2,6,2.635133,3.870967,0.092933,2.349633,0.007277,1.998297,2.012413
Uptime antes da execução:  15:41:48 up 1 day, 14:27, 19 users,  load average: 13.35, 11.57, 10.46
1,"--host fct-deei-linux:2",2,8,2.808,4.086,0.099,2.552965,0.003327,2.154140,2.162070
2,"--host fct-deei-linux:2",2,8,2.552,3.857,0.087,2.289627,0.010121,1.943649,1.949611
3,"--host fct-deei-linux:2",2,8,2.29,3.598,0.081,2.033931,0.001579,1.693142,1.714352
4,"--host fct-deei-linux:2",2,8,2.647,3.92,0.103,2.362173,0.013328,2.008585,2.015028
5,"--host fct-deei-linux:2",2,8,2.5,3.846,0.086,2.241056,0.006553,1.903912,1.910283
6,"--host fct-deei-linux:2",2,8,2.498,3.854,0.071,2.221671,0.003270,1.885266,1.894385
7,"--host fct-deei-linux:2",2,8,2.696,3.971,0.099,2.393520,0.013428,2.047751,2.053723
8,"--host fct-deei-linux:2",2,8,2.684,3.934,0.086,2.382526,0.012786,2.033781,2.041306
9,"--host fct-deei-linux:2",2,8,2.704,3.962,0.12,2.408916,0.001906,2.046296,2.051180
10,"--host fct-deei-linux:2",2,8,2.643,3.892,0.103,2.335826,0.008919,1.999916,2.006096
11,"--host fct-deei-linux:2",2,8,2.688,4.085,0.07,2.400651,0.004744,2.074933,2.080861
12,"--host fct-deei-linux:2",2,8,2.517,3.826,0.087,2.233006,0.002065,1.898090,1.904011
13,"--host fct-deei-linux:2",2,8,2.662,3.953,0.117,2.377720,0.013736,2.033274,2.038947
14,"--host fct-deei-linux:2",2,8,2.507,3.788,0.09,2.244143,0.001776,1.884591,1.888769
15,"--host fct-deei-linux:2",2,8,2.552,3.807,0.113,2.290287,0.003737,1.951753,1.958706
16,"--host fct-deei-linux:2",2,8,2.472,3.769,0.087,2.215527,0.003577,1.868024,1.874714
17,"--host fct-deei-linux:2",2,8,2.572,3.861,0.091,2.321476,0.005479,1.965434,1.971883
18,"--host fct-deei-linux:2",2,8,2.595,3.931,0.09,2.343926,0.012224,1.986207,1.992718
19,"--host fct-deei-linux:2",2,8,2.442,3.688,0.12,2.183670,0.002816,1.816715,1.857527
20,"--host fct-deei-linux:2",2,8,2.623,3.909,0.082,2.354440,0.003959,2.007871,2.015638
21,"--host fct-deei-linux:2",2,8,2.377,3.699,0.092,2.143673,0.012125,1.804867,1.809515
22,"--host fct-deei-linux:2",2,8,2.524,3.735,0.119,2.265050,0.003509,1.926855,1.933943
23,"--host fct-deei-linux:2",2,8,2.447,3.737,0.071,2.196267,0.012341,1.858255,1.863935
24,"--host fct-deei-linux:2",2,8,2.434,3.792,0.057,2.203986,0.002095,1.867502,1.873669
25,"--host fct-deei-linux:2",2,8,2.708,4.013,0.134,2.454012,0.002880,2.093009,2.099139
26,"--host fct-deei-linux:2",2,8,2.73,4.047,0.074,2.428549,0.005594,2.072717,2.079530
27,"--host fct-deei-linux:2",2,8,2.73,4.033,0.071,2.443032,0.007550,2.088921,2.095263
28,"--host fct-deei-linux:2",2,8,2.603,3.966,0.067,2.344315,0.003140,2.005997,2.012087
29,"--host fct-deei-linux:2",2,8,2.412,3.729,0.056,2.123887,0.003485,1.713407,1.788471
30,"--host fct-deei-linux:2",2,8,2.607,3.886,0.084,2.293962,0.009722,1.952594,1.957342
Uptime depois da execução:  15:43:13 up 1 day, 14:28, 19 users,  load average: 17.07, 13.17, 11.12
Média,"--host fct-deei-linux:2",2,8,2.574133,3.872467,0.090233,2.302787,0.006392,1.952920,1.963150
Uptime antes da execução:  15:43:16 up 1 day, 14:28, 19 users,  load average: 17.07, 13.17, 11.12
1,"--host fct-deei-linux:3",3,2,2.592,3.702,0.151,2.234125,0.007988,1.825855,1.844319
2,"--host fct-deei-linux:3",3,2,2.728,4.01,0.11,2.373230,0.009239,1.968940,1.979235
3,"--host fct-deei-linux:3",3,2,2.765,3.899,0.112,2.382785,0.005823,1.971435,1.981470
4,"--host fct-deei-linux:3",3,2,2.544,3.801,0.139,2.157081,0.005761,1.638303,1.762020
5,"--host fct-deei-linux:3",3,2,2.516,4.009,0.127,2.238369,0.010018,1.816378,1.827926
6,"--host fct-deei-linux:3",3,2,2.533,3.878,0.085,2.285099,0.023007,1.779787,1.828235
7,"--host fct-deei-linux:3",3,2,2.727,3.935,0.113,2.405768,0.012394,2.004652,2.021390
8,"--host fct-deei-linux:3",3,2,2.634,3.783,0.124,2.223465,0.006592,1.692053,1.826855
9,"--host fct-deei-linux:3",3,2,2.506,3.665,0.129,2.128627,0.006125,1.678713,1.702655
10,"--host fct-deei-linux:3",3,2,2.675,3.943,0.113,2.403196,0.005037,1.942586,1.992057
11,"--host fct-deei-linux:3",3,2,2.748,3.846,0.101,2.401214,0.005028,1.982955,1.995762
12,"--host fct-deei-linux:3",3,2,2.776,3.958,0.118,2.420651,0.018222,2.013801,2.019160
13,"--host fct-deei-linux:3",3,2,2.652,3.871,0.123,2.294729,0.003782,1.836543,1.899008
14,"--host fct-deei-linux:3",3,2,2.622,3.921,0.131,2.280997,0.004549,1.862300,1.932657
15,"--host fct-deei-linux:3",3,2,2.592,3.87,0.175,2.290827,0.007185,1.661277,1.858537
16,"--host fct-deei-linux:3",3,2,2.892,4.054,0.155,2.524302,0.006526,2.092235,2.106046
17,"--host fct-deei-linux:3",3,2,2.88,3.953,0.125,2.525491,0.005915,1.990724,2.100113
18,"--host fct-deei-linux:3",3,2,2.768,3.886,0.158,2.380953,0.005482,1.912439,1.954608
19,"--host fct-deei-linux:3",3,2,2.619,3.88,0.119,2.261098,0.006383,1.849030,1.863660
20,"--host fct-deei-linux:3",3,2,2.691,3.858,0.116,2.250115,0.006842,1.830888,1.847260
21,"--host fct-deei-linux:3",3,2,2.715,3.887,0.151,2.302677,0.005301,1.937691,1.945181
22,"--host fct-deei-linux:3",3,2,3.171,4.008,0.117,2.835752,0.006249,2.409200,2.423987
23,"--host fct-deei-linux:3",3,2,2.563,3.772,0.122,2.306508,0.006345,1.900845,1.919844
24,"--host fct-deei-linux:3",3,2,2.635,3.862,0.13,2.236969,0.004244,1.755032,1.859524
25,"--host fct-deei-linux:3",3,2,2.56,3.83,0.119,2.243307,0.015718,1.859230,1.876095
26,"--host fct-deei-linux:3",3,2,2.711,3.892,0.144,2.358005,0.006249,1.898369,1.999924
27,"--host fct-deei-linux:3",3,2,2.607,3.771,0.171,2.334613,0.005208,1.972300,1.979279
28,"--host fct-deei-linux:3",3,2,2.68,3.854,0.107,2.344297,0.006977,1.932037,1.942180
29,"--host fct-deei-linux:3",3,2,2.659,3.871,0.137,2.281888,0.005322,1.865044,1.873469
30,"--host fct-deei-linux:3",3,2,2.542,3.728,0.131,2.196728,0.004589,1.812650,1.829685
Uptime depois da execução:  15:44:44 up 1 day, 14:29, 20 users,  load average: 11.81, 12.37, 11.02
Média,"--host fct-deei-linux:3",3,2,2.676767,3.873233,0.128433,2.330100,0.007603,1.889770,1.933080
Uptime antes da execução:  15:44:46 up 1 day, 14:30, 20 users,  load average: 11.27, 12.25, 10.99
1,"--host fct-deei-linux:3",3,4,2.193,3.789,0.096,1.792484,0.006499,1.387948,1.406981
2,"--host fct-deei-linux:3",3,4,2.183,3.875,0.125,1.885447,0.007075,1.448299,1.470210
3,"--host fct-deei-linux:3",3,4,2.303,3.813,0.128,1.942248,0.006244,1.504100,1.526322
4,"--host fct-deei-linux:3",3,4,2.19,3.848,0.136,1.808752,0.004671,1.446057,1.453077
5,"--host fct-deei-linux:3",3,4,2.112,3.794,0.13,1.763963,0.016650,1.341599,1.363743
6,"--host fct-deei-linux:3",3,4,2.309,3.95,0.138,1.959915,0.013990,1.451718,1.559035
7,"--host fct-deei-linux:3",3,4,2.302,3.943,0.133,1.919557,0.020376,1.394963,1.514827
8,"--host fct-deei-linux:3",3,4,2.216,3.943,0.108,1.870421,0.004371,1.484581,1.507378
9,"--host fct-deei-linux:3",3,4,2.234,3.747,0.145,1.866267,0.005143,1.439422,1.447856
10,"--host fct-deei-linux:3",3,4,2.106,3.782,0.115,1.746857,0.005845,1.369191,1.417226
11,"--host fct-deei-linux:3",3,4,2.1,3.902,0.116,1.838565,0.016469,1.425281,1.432489
12,"--host fct-deei-linux:3",3,4,2.175,3.923,0.116,1.918360,0.005956,1.490933,1.545065
13,"--host fct-deei-linux:3",3,4,2.03,3.842,0.134,1.828825,0.005447,1.376759,1.431356
14,"--host fct-deei-linux:3",3,4,2.184,3.952,0.137,1.917533,0.005477,1.500154,1.558687
15,"--host fct-deei-linux:3",3,4,2.263,3.837,0.125,1.808852,0.012467,1.356408,1.383049
16,"--host fct-deei-linux:3",3,4,2.121,3.735,0.117,1.721918,0.020188,1.349883,1.380250
17,"--host fct-deei-linux:3",3,4,2.201,3.782,0.133,1.867886,0.003885,1.416563,1.450070
18,"--host fct-deei-linux:3",3,4,2.126,3.753,0.101,1.880659,0.004049,1.479455,1.486772
19,"--host fct-deei-linux:3",3,4,2.282,3.774,0.107,1.863171,0.006439,1.431371,1.443053
20,"--host fct-deei-linux:3",3,4,2.324,3.923,0.115,1.877242,0.005907,1.441038,1.480247
21,"--host fct-deei-linux:3",3,4,2.067,3.719,0.155,1.805960,0.004093,1.357798,1.367074
22,"--host fct-deei-linux:3",3,4,2.201,3.995,0.13,1.923976,0.015278,1.492157,1.546020
23,"--host fct-deei-linux:3",3,4,2.247,3.914,0.112,1.899609,0.019739,1.486219,1.511364
24,"--host fct-deei-linux:3",3,4,2.216,3.778,0.113,1.821474,0.006638,1.410320,1.421548
25,"--host fct-deei-linux:3",3,4,2.257,3.85,0.128,1.871633,0.005427,1.506166,1.514298
26,"--host fct-deei-linux:3",3,4,2.031,3.837,0.16,1.770191,0.004341,1.391194,1.405067
27,"--host fct-deei-linux:3",3,4,2.252,3.79,0.124,1.892358,0.006222,1.399833,1.451083
28,"--host fct-deei-linux:3",3,4,2.147,3.816,0.126,1.889420,0.003782,1.494880,1.501996
29,"--host fct-deei-linux:3",3,4,2.169,3.866,0.149,1.882737,0.004338,1.381563,1.486094
30,"--host fct-deei-linux:3",3,4,2.242,3.863,0.139,1.874540,0.006615,1.465728,1.479554
Uptime depois da execução:  15:45:59 up 1 day, 14:31, 20 users,  load average: 14.09, 12.82, 11.27
Média,"--host fct-deei-linux:3",3,4,2.192767,3.844500,0.126367,1.857033,0.008454,1.430727,1.464733
Uptime antes da execução:  15:46:01 up 1 day, 14:31, 20 users,  load average: 14.09, 12.82, 11.27
1,"--host fct-deei-linux:3",3,6,2.116,3.773,0.091,1.714020,0.005501,1.263331,1.286322
2,"--host fct-deei-linux:3",3,6,2.123,3.851,0.156,1.802546,0.005928,1.311922,1.418534
3,"--host fct-deei-linux:3",3,6,1.812,3.647,0.118,1.557166,0.004948,1.207302,1.223578
4,"--host fct-deei-linux:3",3,6,2.106,3.787,0.149,1.796281,0.002900,1.348465,1.369351
5,"--host fct-deei-linux:3",3,6,1.959,3.708,0.133,1.659015,0.004110,1.266261,1.273473
6,"--host fct-deei-linux:3",3,6,1.938,3.762,0.112,1.700257,0.006306,1.301627,1.310887
7,"--host fct-deei-linux:3",3,6,1.924,3.689,0.161,1.674811,0.006166,1.232799,1.243088
8,"--host fct-deei-linux:3",3,6,2.096,3.738,0.119,1.783546,0.007173,1.355945,1.373748
9,"--host fct-deei-linux:3",3,6,1.945,3.805,0.122,1.674881,0.005125,1.218273,1.285823
10,"--host fct-deei-linux:3",3,6,1.956,3.74,0.116,1.694260,0.003499,1.252286,1.265799
11,"--host fct-deei-linux:3",3,6,2.046,3.709,0.129,1.712177,0.005535,1.293167,1.302530
12,"--host fct-deei-linux:3",3,6,2.081,3.676,0.141,1.723712,0.006811,1.303565,1.314376
13,"--host fct-deei-linux:3",3,6,2.077,3.79,0.111,1.707987,0.014495,1.322151,1.334739
14,"--host fct-deei-linux:3",3,6,2.017,3.739,0.141,1.692627,0.007127,1.258714,1.271129
15,"--host fct-deei-linux:3",3,6,2.262,4.057,0.105,1.882882,0.016611,1.346276,1.396292
16,"--host fct-deei-linux:3",3,6,2.157,3.994,0.167,1.790813,0.006565,1.386857,1.396274
17,"--host fct-deei-linux:3",3,6,2.067,3.901,0.12,1.722602,0.010684,1.268860,1.342147
18,"--host fct-deei-linux:3",3,6,2.086,3.831,0.115,1.788411,0.005431,1.372529,1.404070
19,"--host fct-deei-linux:3",3,6,2.043,3.68,0.13,1.691076,0.004059,1.259008,1.320508
20,"--host fct-deei-linux:3",3,6,2.116,3.839,0.094,1.788202,0.020343,1.346465,1.376103
21,"--host fct-deei-linux:3",3,6,1.993,3.742,0.105,1.640744,0.017793,1.242386,1.249414
22,"--host fct-deei-linux:3",3,6,1.959,3.756,0.108,1.685313,0.010287,1.279761,1.295777
23,"--host fct-deei-linux:3",3,6,1.983,3.806,0.122,1.738480,0.004232,1.340612,1.347959
24,"--host fct-deei-linux:3",3,6,1.978,3.689,0.122,1.590855,0.005883,1.235941,1.250081
25,"--host fct-deei-linux:3",3,6,2.105,3.762,0.094,1.746377,0.010647,1.319730,1.327868
26,"--host fct-deei-linux:3",3,6,1.998,3.779,0.131,1.707040,0.006232,1.307541,1.315449
27,"--host fct-deei-linux:3",3,6,2.124,3.901,0.11,1.849722,0.006112,1.241977,1.461086
28,"--host fct-deei-linux:3",3,6,2.072,3.745,0.135,1.712593,0.007426,1.265493,1.274969
29,"--host fct-deei-linux:3",3,6,2.085,3.9,0.096,1.749712,0.017932,1.290371,1.356563
30,"--host fct-deei-linux:3",3,6,2.102,3.831,0.132,1.716234,0.004095,1.318894,1.328365
Uptime depois da execução:  15:47:10 up 1 day, 14:32, 20 users,  load average: 16.23, 13.62, 11.66
Média,"--host fct-deei-linux:3",3,6,2.044200,3.787567,0.122833,1.723143,0.007999,1.291957,1.323880
Uptime antes da execução:  15:47:12 up 1 day, 14:32, 20 users,  load average: 17.01, 13.82, 11.74
1,"--host fct-deei-linux:3",3,8,1.957,3.745,0.143,1.616298,0.012315,1.216677,1.243801
2,"--host fct-deei-linux:3",3,8,1.93,3.703,0.115,1.660628,0.016163,1.234236,1.239589
3,"--host fct-deei-linux:3",3,8,2.031,3.745,0.099,1.681127,0.003963,1.291846,1.297852
4,"--host fct-deei-linux:3",3,8,1.913,3.688,0.156,1.607203,0.014362,1.188809,1.203494
5,"--host fct-deei-linux:3",3,8,2.027,3.706,0.127,1.664451,0.006348,1.244527,1.253631
6,"--host fct-deei-linux:3",3,8,2.039,3.652,0.153,1.662149,0.006044,1.246376,1.256142
7,"--host fct-deei-linux:3",3,8,1.905,3.752,0.127,1.643249,0.006115,1.245786,1.255730
8,"--host fct-deei-linux:3",3,8,2.005,3.834,0.132,1.661009,0.021497,1.238253,1.245518
9,"--host fct-deei-linux:3",3,8,1.978,3.73,0.116,1.719670,0.005610,1.292767,1.314541
10,"--host fct-deei-linux:3",3,8,1.827,3.82,0.134,1.564092,0.003760,1.199845,1.207088
11,"--host fct-deei-linux:3",3,8,2.036,3.786,0.142,1.689217,0.021627,1.202711,1.238821
12,"--host fct-deei-linux:3",3,8,2.013,3.835,0.126,1.685931,0.017849,1.291754,1.304684
13,"--host fct-deei-linux:3",3,8,2.04,3.849,0.108,1.725869,0.004061,1.317178,1.325430
14,"--host fct-deei-linux:3",3,8,1.954,3.725,0.161,1.673551,0.004258,1.230918,1.249602
15,"--host fct-deei-linux:3",3,8,2.155,3.868,0.108,1.789376,0.016416,1.373205,1.394984
16,"--host fct-deei-linux:3",3,8,1.816,3.696,0.124,1.531876,0.005703,1.120917,1.161778
17,"--host fct-deei-linux:3",3,8,2.067,3.718,0.115,1.673518,0.005592,1.246558,1.263971
18,"--host fct-deei-linux:3",3,8,2.058,3.657,0.141,1.651445,0.011034,1.173257,1.185006
19,"--host fct-deei-linux:3",3,8,2.088,3.758,0.137,1.737466,0.006133,1.254405,1.326085
20,"--host fct-deei-linux:3",3,8,2.027,3.737,0.148,1.632203,0.004662,1.225879,1.234249
21,"--host fct-deei-linux:3",3,8,2.061,3.78,0.159,1.685336,0.023711,1.246941,1.262746
22,"--host fct-deei-linux:3",3,8,1.914,3.724,0.144,1.584510,0.005596,1.222712,1.233905
23,"--host fct-deei-linux:3",3,8,2.034,3.794,0.108,1.684978,0.006643,1.259005,1.269051
24,"--host fct-deei-linux:3",3,8,2.086,3.825,0.131,1.693633,0.004776,1.265160,1.282644
25,"--host fct-deei-linux:3",3,8,1.958,3.732,0.154,1.694700,0.059481,1.226530,1.243777
26,"--host fct-deei-linux:3",3,8,2.21,3.756,0.136,1.762606,0.010528,1.322655,1.366996
27,"--host fct-deei-linux:3",3,8,1.887,3.725,0.153,1.624850,0.004098,1.237559,1.244461
28,"--host fct-deei-linux:3",3,8,2.1,3.81,0.11,1.705944,0.016252,1.300098,1.307724
29,"--host fct-deei-linux:3",3,8,1.991,3.732,0.102,1.638375,0.025832,1.202536,1.233104
30,"--host fct-deei-linux:3",3,8,1.984,3.794,0.137,1.707504,0.008879,1.246815,1.260050
Uptime depois da execução:  15:48:18 up 1 day, 14:33, 20 users,  load average: 17.45, 14.72, 12.19
Média,"--host fct-deei-linux:3",3,8,2.003033,3.755867,0.131533,1.668427,0.011977,1.245533,1.263547
Uptime antes da execução:  15:48:21 up 1 day, 14:33, 20 users,  load average: 17.45, 14.72, 12.19
