Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
Uptime antes da execução:  17:27:41 up  3:13, 22 users,  load average: 1.97, 3.13, 4.45
1,"--host fct-deei-linux:2",2,2.678,4.59,0.124,2.561569,0.001789,2.169759,2.180839
2,"--host fct-deei-linux:2",2,4.757,8.728,0.12,4.640000,0.002115,4.208461,4.213404
3,"--host fct-deei-linux:2",2,2.76,4.742,0.12,2.642560,0.001752,2.226433,2.238794
4,"--host fct-deei-linux:2",2,2.658,4.578,0.105,2.552827,0.001651,2.160338,2.164927
5,"--host fct-deei-linux:2",2,2.7,4.634,0.118,2.590862,0.001852,2.183707,2.193087
6,"--host fct-deei-linux:2",2,2.675,4.627,0.1,2.566160,0.001729,2.183670,2.187597
7,"--host fct-deei-linux:2",2,2.99,4.939,0.143,2.873485,0.001818,2.256586,2.484155
8,"--host fct-deei-linux:2",2,2.698,4.656,0.09,2.586162,0.001764,2.182825,2.187372
9,"--host fct-deei-linux:2",2,2.69,4.636,0.096,2.578249,0.001804,2.179205,2.183411
10,"--host fct-deei-linux:2",2,2.684,4.624,0.117,2.574771,0.001905,2.182169,2.186713
11,"--host fct-deei-linux:2",2,2.646,4.547,0.11,2.538693,0.001729,2.142202,2.151914
12,"--host fct-deei-linux:2",2,2.714,4.675,0.106,2.604428,0.001567,2.195353,2.205491
13,"--host fct-deei-linux:2",2,2.702,4.686,0.084,2.600290,0.001937,2.203633,2.207933
14,"--host fct-deei-linux:2",2,2.734,4.719,0.116,2.620587,0.001714,2.230260,2.234462
15,"--host fct-deei-linux:2",2,2.656,4.563,0.108,2.556271,0.001823,2.157940,2.162179
16,"--host fct-deei-linux:2",2,4.704,8.677,0.103,4.602837,0.002221,4.183703,4.188808
17,"--host fct-deei-linux:2",2,2.693,4.623,0.126,2.585582,0.001652,2.188669,2.197094
18,"--host fct-deei-linux:2",2,2.681,4.62,0.109,2.561388,0.001869,2.175847,2.180305
19,"--host fct-deei-linux:2",2,3.376,5.312,0.134,3.252581,0.001849,2.227811,2.849597
20,"--host fct-deei-linux:2",2,2.748,4.725,0.13,2.641221,0.001814,2.244193,2.250191
21,"--host fct-deei-linux:2",2,2.882,4.861,0.095,2.781525,0.001676,2.212590,2.391947
22,"--host fct-deei-linux:2",2,2.72,4.703,0.091,2.614335,0.001690,2.215031,2.219662
23,"--host fct-deei-linux:2",2,2.769,4.771,0.12,2.660311,0.001684,2.259692,2.263857
24,"--host fct-deei-linux:2",2,2.783,4.843,0.086,2.676685,0.001685,2.278215,2.282636
25,"--host fct-deei-linux:2",2,2.724,4.719,0.095,2.620376,0.001789,2.222857,2.226979
26,"--host fct-deei-linux:2",2,2.758,4.745,0.089,2.656183,0.001749,2.223279,2.261862
27,"--host fct-deei-linux:2",2,2.728,4.723,0.101,2.618677,0.001665,2.226309,2.230632
28,"--host fct-deei-linux:2",2,2.769,4.761,0.136,2.670396,0.001514,2.268102,2.272454
29,"--host fct-deei-linux:2",2,2.723,4.725,0.094,2.624150,0.001804,2.220410,2.233553
30,"--host fct-deei-linux:2",2,2.739,4.69,0.133,2.626357,0.001659,2.223966,2.233044
Uptime depois da execução:  17:29:09 up  3:15, 22 users,  load average: 2.62, 3.05, 4.30
Média,"--host fct-deei-linux:2",2,2.88463,4.9814,0.109967,2.77599,0.00177563,2.34111,2.38217
Uptime antes da execução:  17:29:09 up  3:15, 22 users,  load average: 2.62, 3.05, 4.30
1,"--host fct-deei-linux:3",3,2.083,5.006,0.119,1.972486,0.001899,1.556898,1.561410
2,"--host fct-deei-linux:3",3,2.05,4.837,0.161,1.929426,0.001890,1.499870,1.504214
3,"--host fct-deei-linux:3",3,2.092,4.993,0.171,1.982814,0.001938,1.552087,1.556010
4,"--host fct-deei-linux:3",3,2.102,5.007,0.157,1.990231,0.002008,1.549074,1.553427
5,"--host fct-deei-linux:3",3,2.082,4.987,0.132,1.967471,0.001874,1.536708,1.540927
6,"--host fct-deei-linux:3",3,2.069,4.916,0.139,1.957421,0.001818,1.522092,1.531448
7,"--host fct-deei-linux:3",3,2.072,4.909,0.178,1.960025,0.002016,1.537009,1.541426
8,"--host fct-deei-linux:3",3,2.076,4.94,0.144,1.966705,0.001863,1.519286,1.532975
9,"--host fct-deei-linux:3",3,2.095,4.985,0.18,1.976470,0.001860,1.564569,1.568769
10,"--host fct-deei-linux:3",3,2.161,5.182,0.156,2.048209,0.002071,1.616840,1.621446
11,"--host fct-deei-linux:3",3,2.179,5.203,0.167,2.063569,0.002094,1.594370,1.628461
12,"--host fct-deei-linux:3",3,2.066,4.938,0.136,1.960523,0.001951,1.527015,1.543676
13,"--host fct-deei-linux:3",3,2.079,4.986,0.112,1.965154,0.001959,1.525986,1.530233
14,"--host fct-deei-linux:3",3,2.095,4.986,0.127,1.972860,0.002277,1.556433,1.560699
15,"--host fct-deei-linux:3",3,2.093,5.002,0.147,1.981397,0.002023,1.552662,1.556817
