Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
16,"--host fct-deei-linux:3",3,2.098,5.021,0.146,1.987796,0.002964,1.546072,1.550017
17,"--host fct-deei-linux:3",3,2.093,5.027,0.127,1.985539,0.001948,1.561045,1.565153
18,"--host fct-deei-linux:3",3,2.046,4.868,0.165,1.931418,0.002050,1.516604,1.521029
19,"--host fct-deei-linux:3",3,2.189,4.969,0.152,2.088625,0.002350,1.510801,1.687559
20,"--host fct-deei-linux:3",3,2.03,4.81,0.173,1.925731,0.002047,1.504582,1.511263
21,"--host fct-deei-linux:3",3,2.017,4.843,0.114,1.917289,0.001979,1.509631,1.513750
22,"--host fct-deei-linux:3",3,2.063,4.941,0.131,1.952359,0.001849,1.535064,1.539432
23,"--host fct-deei-linux:3",3,2.03,4.867,0.127,1.923951,0.002014,1.496537,1.500970
24,"--host fct-deei-linux:3",3,2.037,4.848,0.16,1.931086,0.001922,1.509670,1.514095
25,"--host fct-deei-linux:3",3,2.148,5.141,0.127,2.026305,0.002051,1.595406,1.616054
26,"--host fct-deei-linux:3",3,2.082,4.925,0.161,1.967013,0.001911,1.514931,1.534830
27,"--host fct-deei-linux:3",3,2.04,4.84,0.146,1.927449,0.001930,1.510377,1.514542
28,"--host fct-deei-linux:3",3,2.059,4.898,0.143,1.938637,0.001885,1.507976,1.520938
29,"--host fct-deei-linux:3",3,2.083,4.99,0.132,1.967179,0.001997,1.551191,1.555437
30,"--host fct-deei-linux:3",3,2.122,5.039,0.167,2.002448,0.001964,1.579893,1.583848
Uptime depois da execução:  17:30:13 up  3:16, 21 users,  load average: 3.18, 3.14, 4.24
Média,"--host fct-deei-linux:3",3,2.08437,4.96347,0.146567,1.97225,0.0020134,1.53869,1.55203
Uptime antes da execução:  17:30:13 up  3:16, 21 users,  load average: 3.18, 3.14, 4.24
1,"--host fct-deei-linux:4",4,2.07,5.261,0.168,1.948450,0.001690,1.504751,1.548766
2,"--host fct-deei-linux:4",4,2.114,5.316,0.154,2.011349,0.001735,1.390704,1.586451
3,"--host fct-deei-linux:4",4,2.726,7.022,0.128,2.607947,0.001887,1.676483,2.101994
4,"--host fct-deei-linux:4",4,2.156,5.356,0.201,2.046486,0.001873,1.408671,1.616477
5,"--host fct-deei-linux:4",4,2.148,5.329,0.202,2.025185,0.001825,1.476130,1.557542
6,"--host fct-deei-linux:4",4,2.121,5.379,0.131,2.010471,0.001746,1.435380,1.596967
7,"--host fct-deei-linux:4",4,2.023,5.196,0.143,1.924178,0.001709,1.302695,1.510768
8,"--host fct-deei-linux:4",4,2.12,5.389,0.144,2.014726,0.010675,1.348531,1.579403
9,"--host fct-deei-linux:4",4,2.223,5.632,0.159,2.112168,0.001718,1.476618,1.696409
10,"--host fct-deei-linux:4",4,2.109,5.3,0.154,2.002905,0.001833,1.507047,1.546816
11,"--host fct-deei-linux:4",4,2.262,5.617,0.229,2.155161,0.001620,1.516728,1.703060
12,"--host fct-deei-linux:4",4,2.019,5.106,0.15,1.913730,0.001564,1.295096,1.494779
13,"--host fct-deei-linux:4",4,2.111,5.36,0.173,2.006421,0.020431,1.457386,1.546031
14,"--host fct-deei-linux:4",4,2.016,5.041,0.145,1.907153,0.001691,1.453704,1.495228
15,"--host fct-deei-linux:4",4,2.648,7.024,0.148,2.552483,0.002004,2.064410,2.105952
16,"--host fct-deei-linux:4",4,2.082,5.338,0.14,1.974326,0.001947,1.265888,1.538653
17,"--host fct-deei-linux:4",4,2.055,5.229,0.119,1.936103,0.001769,1.324867,1.495653
18,"--host fct-deei-linux:4",4,2.226,5.743,0.164,2.121165,0.001772,1.329156,1.696391
19,"--host fct-deei-linux:4",4,2.171,5.504,0.126,2.073893,0.005163,1.233666,1.658447
20,"--host fct-deei-linux:4",4,2.026,5.143,0.171,1.927472,0.001810,1.411437,1.498435
21,"--host fct-deei-linux:4",4,2.101,5.257,0.167,1.969817,0.001705,1.477983,1.562981
22,"--host fct-deei-linux:4",4,2.045,5.209,0.149,1.942733,0.001775,1.467261,1.511311
23,"--host fct-deei-linux:4",4,2.099,5.34,0.163,1.992026,0.001696,1.421174,1.570526
24,"--host fct-deei-linux:4",4,1.942,4.944,0.13,1.839128,0.001629,1.401579,1.434597
25,"--host fct-deei-linux:4",4,2.27,5.748,0.151,2.166866,0.013748,1.409529,1.712065
26,"--host fct-deei-linux:4",4,2.135,5.214,0.114,2.029626,0.001708,1.278346,1.630363
27,"--host fct-deei-linux:4",4,2.103,5.364,0.16,1.992475,0.001747,1.503272,1.545932
28,"--host fct-deei-linux:4",4,2.019,5.144,0.127,1.911349,0.001734,1.285882,1.490385
29,"--host fct-deei-linux:4",4,2.194,5.707,0.178,2.072227,0.001757,1.636836,1.669118
30,"--host fct-deei-linux:4",4,2.617,6.556,0.159,2.515134,0.002180,1.429463,2.068399
Uptime depois da execução:  17:31:20 up  3:17, 22 users,  load average: 3.69, 3.32, 4.23
Média,"--host fct-deei-linux:4",4,2.16503,5.49227,0.1549,2.05677,0.0032047,1.43969,1.62567
Uptime antes da execução:  17:31:20 up  3:17, 22 users,  load average: 3.69, 3.32, 4.23
1,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.15,4.773,0.386,3.694827,0.001849,1.171379,1.242302
2,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.233,4.591,0.52,3.805710,0.001692,1.121135,1.385921
3,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,5.145,7.963,0.688,4.709831,0.012051,2.098591,2.163958
4,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.157,4.669,0.555,3.718786,0.002422,1.204586,1.269643
5,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.183,4.762,0.489,3.723280,0.013651,1.066787,1.259023
6,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.885,7.329,0.558,4.453036,0.002129,1.862583,1.925240
7,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.493,6.173,0.547,4.059641,0.001778,1.563836,1.613141
8,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.219,4.89,0.466,3.781322,0.001755,1.117768,1.347704
9,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.129,4.787,0.463,3.680060,0.001818,1.018688,1.246259
10,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.131,4.728,0.523,3.679420,0.018355,1.059116,1.182606
11,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.83,6.735,0.817,4.378816,0.005645,1.025253,1.945704
12,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.086,4.684,0.48,3.645264,0.021617,1.065563,1.172963
13,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.778,6.614,0.949,4.344126,0.019079,1.087638,1.814417
14,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.663,6.265,0.819,4.237341,0.016271,1.195502,1.722135
15,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.028,4.593,0.425,3.613553,0.001815,1.084103,1.166822
16,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.119,4.773,0.489,3.648196,0.001720,0.994963,1.226925
17,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.984,4.724,0.484,3.552514,0.001760,1.042941,1.142189
18,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.16,4.8,0.455,3.720887,0.001716,1.101793,1.282172
19,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.028,4.794,0.434,3.587955,0.001795,1.113747,1.165819
20,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.085,4.743,0.491,3.641962,0.001794,1.076009,1.194572
21,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.429,6.084,0.477,3.990696,0.002087,1.391802,1.495039
22,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.171,4.888,0.513,3.714020,0.001602,1.204641,1.264698
23,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.193,4.915,0.477,3.739492,0.017081,1.216712,1.271907
24,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.755,6.703,0.736,4.295702,0.002163,1.246589,1.839238
25,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.087,4.822,0.54,3.631865,0.011491,1.129551,1.215344
26,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.068,4.478,0.599,3.633019,0.002027,1.047860,1.171344
27,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.807,4.708,0.49,3.351257,0.002030,0.890983,0.927654
28,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.639,8.069,0.576,4.183879,0.002455,1.650256,1.711640
29,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.557,7.574,0.782,4.091937,0.002045,0.855585,1.688197
30,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.63,8.001,0.796,4.178357,0.001795,1.691251,1.741145
Uptime depois da execução:  17:33:31 up  3:19, 21 users,  load average: 2.77, 3.20, 4.07
Média,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,4.3274,5.58773,0.567467,3.88287,0.0058496,1.21325,1.42652
Uptime antes da execução:  17:33:31 up  3:19, 21 users,  load average: 2.77, 3.20, 4.07
1,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.294,5.916,0.909,3.840863,0.001959,0.722634,1.429216
2,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.311,5.982,0.894,3.848878,0.001793,0.724610,1.435800
3,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.231,5.682,0.728,3.782813,0.002383,0.898338,1.376005
4,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.371,6.872,0.78,3.912598,0.002078,1.405273,1.467086
5,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.434,7.388,0.49,3.981560,0.002058,1.460430,1.526104
6,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.674,4.227,0.504,3.234160,0.002230,0.754458,0.812892
7,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.38,7.232,0.56,3.934784,0.002142,1.422845,1.483389
8,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.348,6.087,0.951,3.878709,0.001842,0.735770,1.466520
9,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.37,6.659,0.89,3.908904,0.002032,0.746846,1.490447
10,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.667,4.335,0.575,3.218077,0.001794,0.751948,0.807154
11,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.329,7.128,0.486,3.889957,0.002012,1.390549,1.453579
12,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.385,7.279,0.563,3.935197,0.002130,1.418293,1.485736
13,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.343,6.781,0.421,3.890301,0.002109,1.386188,1.446368
14,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.321,7.014,0.464,3.862433,0.002383,1.374852,1.423790
15,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.495,7.013,0.504,4.051481,0.002223,1.471737,1.600805
16,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.359,6.264,1.113,3.918031,0.002123,0.725265,1.466516
17,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.691,4.344,0.532,3.240094,0.001878,0.757730,0.826318
18,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.4,6.915,0.857,3.944272,0.001601,1.436325,1.497986
19,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.286,6.293,1.011,3.830403,0.002606,0.726650,1.421476
20,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.391,7.26,0.573,3.941751,0.002081,1.430805,1.488927
21,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.702,4.365,0.479,3.235172,0.002091,0.741747,0.804945
22,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.277,6.36,1.076,3.838061,0.002063,0.734176,1.430586
23,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.368,7.261,0.532,3.917434,0.001751,1.407843,1.470369
24,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.384,7.192,0.478,3.929285,0.002059,1.407853,1.481713
25,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.299,6.298,1.122,3.839122,0.002411,0.728600,1.425490
26,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.358,7.167,0.467,3.900643,0.001945,1.392436,1.459965
27,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.272,6.159,1.102,3.822997,0.002476,0.720994,1.410846
28,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.281,6.285,1.068,3.833260,0.002068,0.727249,1.418961
29,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.303,6.359,1.087,3.850888,0.002553,0.730315,1.432753
30,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.34,6.484,0.821,3.881400,0.002398,1.405446,1.442955
Uptime depois da execução:  17:35:41 up  3:21, 20 users,  load average: 2.09, 2.75, 3.79
Média,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,4.25547,6.35337,0.734567,3.8031,0.00210907,1.05793,1.37283
