Execução,Configuração,np,Tempo_real,Tempo_user,Tempo_sys,Tempo_total,Tempo_Bcast_Scatterv,Tempo_Computacao,Tempo_Gatherv
29,"--host fct-deei-linux:3",3,0.581,0.702,0.141,0.479658,0.000649,0.179934,0.181144
30,"--host fct-deei-linux:3",3,0.581,0.71,0.135,0.476305,0.000641,0.176144,0.177427
Uptime depois da execução:  17:24:18 up  3:10, 22 users,  load average: 1.00, 4.11, 5.02
Média,"--host fct-deei-linux:3",3,0.591633,0.743,0.123967,0.481107,0.000700767,0.181719,0.189512
Uptime antes da execução:  17:24:18 up  3:10, 22 users,  load average: 1.00, 4.11, 5.02
1,"--host fct-deei-linux:4",4,0.539,0.802,0.114,0.427183,0.000644,0.134744,0.137100
2,"--host fct-deei-linux:4",4,0.68,1.252,0.169,0.566792,0.000589,0.259594,0.263383
3,"--host fct-deei-linux:4",4,0.567,0.772,0.181,0.446723,0.000535,0.136811,0.138812
4,"--host fct-deei-linux:4",4,0.539,0.726,0.168,0.428029,0.000532,0.134888,0.136956
5,"--host fct-deei-linux:4",4,0.555,0.743,0.17,0.438734,0.000731,0.134570,0.137665
6,"--host fct-deei-linux:4",4,0.538,0.772,0.13,0.432941,0.000500,0.136261,0.138261
7,"--host fct-deei-linux:4",4,0.547,0.726,0.179,0.435645,0.000588,0.135857,0.139477
8,"--host fct-deei-linux:4",4,0.543,0.752,0.162,0.429921,0.000539,0.134521,0.137924
9,"--host fct-deei-linux:4",4,0.543,0.798,0.13,0.436809,0.000502,0.136331,0.138210
10,"--host fct-deei-linux:4",4,0.538,0.744,0.159,0.427853,0.000669,0.134705,0.137717
11,"--host fct-deei-linux:4",4,0.556,0.775,0.144,0.439517,0.000564,0.134853,0.147395
12,"--host fct-deei-linux:4",4,0.547,0.746,0.168,0.436738,0.000708,0.134312,0.137503
13,"--host fct-deei-linux:4",4,0.53,0.79,0.11,0.431183,0.000641,0.136806,0.139436
14,"--host fct-deei-linux:4",4,0.544,0.735,0.16,0.434386,0.000707,0.136735,0.139093
15,"--host fct-deei-linux:4",4,0.683,1.301,0.126,0.567377,0.000616,0.262003,0.264120
16,"--host fct-deei-linux:4",4,0.551,0.771,0.134,0.438981,0.001053,0.136533,0.142492
17,"--host fct-deei-linux:4",4,0.559,0.773,0.163,0.446181,0.000637,0.137595,0.147628
18,"--host fct-deei-linux:4",4,0.568,0.805,0.158,0.446158,0.000560,0.141044,0.143203
19,"--host fct-deei-linux:4",4,0.554,0.833,0.134,0.451250,0.000503,0.146820,0.149983
20,"--host fct-deei-linux:4",4,0.547,0.779,0.129,0.433425,0.001101,0.134316,0.140657
21,"--host fct-deei-linux:4",4,0.538,0.784,0.114,0.427524,0.000711,0.137953,0.140377
22,"--host fct-deei-linux:4",4,0.561,0.79,0.164,0.444522,0.000696,0.142821,0.145190
23,"--host fct-deei-linux:4",4,0.559,0.808,0.132,0.444616,0.000766,0.142084,0.144156
24,"--host fct-deei-linux:4",4,0.548,0.785,0.135,0.434424,0.000734,0.137841,0.140216
25,"--host fct-deei-linux:4",4,0.553,0.764,0.159,0.435820,0.000684,0.137100,0.141530
26,"--host fct-deei-linux:4",4,0.533,0.784,0.104,0.432240,0.000660,0.134786,0.137237
27,"--host fct-deei-linux:4",4,0.671,1.289,0.139,0.561949,0.000683,0.259446,0.261788
28,"--host fct-deei-linux:4",4,0.545,0.784,0.148,0.437155,0.000507,0.142803,0.144841
29,"--host fct-deei-linux:4",4,0.552,0.785,0.141,0.436052,0.000589,0.140980,0.143156
30,"--host fct-deei-linux:4",4,0.564,0.809,0.134,0.443128,0.000506,0.137979,0.143894
Uptime depois da execução:  17:24:37 up  3:10, 22 users,  load average: 1.20, 4.01, 4.97
Média,"--host fct-deei-linux:4",4,0.561733,0.8259,0.145267,0.449773,0.0006485,0.14977,0.153314
Uptime antes da execução:  17:24:37 up  3:10, 22 users,  load average: 1.20, 4.01, 4.97
1,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2.993,1.885,0.547,2.545724,0.000579,0.213337,0.229564
2,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.002,1.917,0.605,2.555148,0.000698,0.207312,0.240399
3,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2.973,0.986,0.365,2.527870,0.001088,0.110114,0.226478
4,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.112,1.568,0.586,2.653242,0.000719,0.108421,0.316493
5,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2.999,1.465,0.574,2.558700,0.000654,0.113073,0.246536
6,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.09,1.514,0.524,2.639301,0.001121,0.192627,0.291875
7,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.02,1.431,0.436,2.574711,0.000889,0.179684,0.247265
8,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.039,1.736,0.481,2.599275,0.000665,0.190451,0.273066
9,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.103,1.667,0.524,2.678237,0.000708,0.113454,0.354938
10,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.021,1.332,0.533,2.564741,0.000773,0.176069,0.247590
11,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.006,1.235,0.642,2.567571,0.000592,0.113466,0.234829
12,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.031,1.315,0.587,2.589801,0.010982,0.114018,0.255983
13,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.061,1.389,0.55,2.633403,0.000608,0.234756,0.304619
14,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.067,1.528,0.501,2.626719,0.015578,0.216835,0.290206
15,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.022,1.513,0.558,2.587648,0.000732,0.202839,0.259525
16,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.016,1.386,0.491,2.562148,0.000606,0.117396,0.225184
17,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.022,1.348,0.519,2.580151,0.000566,0.113961,0.246993
18,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.073,1.675,0.528,2.627238,0.025562,0.227135,0.265167
19,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.08,1.421,0.56,2.603284,0.010180,0.209091,0.271035
20,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.065,1.305,0.537,2.628138,0.002696,0.147733,0.300585
21,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.02,1.393,0.511,2.571729,0.011512,0.180458,0.244326
22,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.001,1.449,0.535,2.574831,0.009726,0.113064,0.248596
23,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.184,1.839,0.583,2.739479,0.002680,0.316358,0.389385
24,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.077,1.502,0.549,2.633922,0.000604,0.231962,0.299627
25,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.015,1.262,0.53,2.565862,0.002137,0.117589,0.231946
26,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.059,1.477,0.545,2.616746,0.019222,0.213425,0.274598
27,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.009,1.371,0.463,2.565759,0.013444,0.113125,0.237578
28,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.038,1.569,0.545,2.584821,0.001806,0.222770,0.259987
29,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,2.979,1.224,0.581,2.559042,0.019970,0.111187,0.224298
30,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.046,1.358,0.558,2.586022,0.012555,0.111991,0.249940
Uptime depois da execução:  17:26:09 up  3:12, 21 users,  load average: 2.13, 3.55, 4.71
Média,"--host fct-deei-linux:4 --host fct-deei-aval:1",5,3.04077,1.46867,0.534933,2.5967,0.00565507,0.167791,0.266288
Uptime antes da execução:  17:26:09 up  3:12, 21 users,  load average: 2.13, 3.55, 4.71
1,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.984,1.279,0.488,2.542994,0.000565,0.093731,0.212513
2,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.126,1.552,0.685,2.691336,0.012714,0.093039,0.348654
3,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.002,1.289,0.5,2.561391,0.006864,0.089590,0.215334
4,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.961,1.312,0.547,2.507660,0.000586,0.095306,0.202252
5,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.042,1.589,0.562,2.611636,0.000566,0.194392,0.279093
6,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,2.997,1.187,0.552,2.540351,0.004661,0.098239,0.220291
7,"--host fct-deei-linux:4 --host fct-deei-aval:2",6,3.009,1.437,0.555,2.553239,0.000619,0.181741,0.229676
