Execução,Tempo_real, Tempo_user, Tempo_sys
Uptime antes da execução:  18:24:57 up  4:10, 13 users,  load average: 0.77, 1.80, 3.78
1,0.572,0.568,0.004
2,0.564,0.56,0.004
3,0.57,0.562,0.008
4,0.578,0.574,0.004
5,0.573,0.572,0
6,0.562,0.558,0.004
7,0.584,0.58,0.004
8,0.583,0.575,0.008
9,0.582,0.577,0.005
10,0.576,0.571,0.004
11,0.572,0.563,0.008
12,0.572,0.568,0.004
13,0.575,0.571,0.004
14,0.561,0.553,0.008
15,0.596,0.592,0.004
16,0.584,0.58,0.004
17,0.581,0.569,0.012
18,0.57,0.566,0.004
19,0.576,0.568,0.008
20,0.562,0.558,0.004
21,0.568,0.564,0.004
22,0.579,0.566,0.012
23,0.579,0.571,0.008
24,0.569,0.565,0.004
25,0.569,0.557,0.013
26,0.587,0.587,0
27,0.58,0.576,0.004
28,0.575,0.567,0.008
29,0.566,0.562,0.004
30,0.569,0.564,0.004
Média,0.574467,0.5688,0.00553333
Total,17.234,17.064,0.166
Uptime depois da execução:  18:25:15 up  4:11, 13 users,  load average: 0.83, 1.75, 3.72
