Execução,Tempo_real, Tempo_user, Tempo_sys
Uptime antes da execução:  18:25:15 up  4:11, 13 users,  load average: 0.83, 1.75, 3.72
1,4.39,4.37,0.016
2,4.378,4.361,0.012
3,4.348,4.311,0.032
4,4.508,4.472,0.012
5,4.406,4.382,0.02
6,4.4,4.367,0.02
7,4.382,4.362,0.017
8,4.389,4.363,0.02
9,4.471,4.447,0.02
10,4.472,4.444,0.024
11,4.389,4.361,0.02
12,4.573,4.522,0.036
13,4.453,4.398,0.044
14,4.423,4.411,0.008
15,4.435,4.397,0.032
16,4.563,4.538,0.024
17,4.751,4.713,0.02
18,4.691,4.601,0.052
19,4.573,4.525,0.044
20,4.43,4.382,0.044
21,4.471,4.447,0.021
22,4.532,4.484,0.044
23,4.564,4.537,0.024
24,4.604,4.572,0.028
25,4.656,4.631,0.022
26,4.673,4.633,0.036
27,4.592,4.552,0.032
28,4.641,4.581,0.024
29,4.47,4.452,0.012
30,4.485,4.444,0.028
Média,4.50377,4.46867,0.0262667
Total,135.113,134.06,0.788
Uptime depois da execução:  18:27:36 up  4:13, 13 users,  load average: 1.15, 1.53, 3.36
