Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:13:48 up  2:59, 24 users,  load average: 9.76, 7.10, 4.83
1,13.066,35.931,0.064,12.108448
2,13.244,35.847,0.072,12.284012
3,14.048,36.327,0.072,12.865687
4,15.023,36.93,0.084,13.579874
5,14.078,37.455,0.056,12.953296
6,13.684,37.3,0.064,12.698502
7,13.786,37.224,0.076,12.798220
8,13.768,37.469,0.064,12.756108
9,13.811,37.421,0.084,12.822308
10,13.577,37.247,0.084,12.591631
11,13.837,37.375,0.068,12.849891
12,13.6,36.914,0.068,12.619746
13,13.585,36.867,0.104,12.581723
14,13.695,37.247,0.068,12.688811
15,13.741,37.212,0.107,12.744813
16,12.852,37.012,0.123,11.872456
17,10.204,37.354,0.116,9.248637
18,10.246,37.182,0.115,9.287639
19,10.062,37.113,0.076,9.085611
20,10.058,37.15,0.088,9.103167
21,10.054,37.129,0.097,9.098359
22,9.778,36.173,0.064,8.850101
23,9.85,36.369,0.072,8.912880
24,9.975,36.844,0.096,9.029588
25,9.936,36.561,0.076,8.990338
26,9.849,36.3,0.068,8.901294
27,9.983,36.106,0.112,9.034414
28,9.924,36.643,0.096,8.996404
29,9.797,36.088,0.128,8.855478
30,9.837,36.308,0.104,8.902130
Média,11.9649,36.8367,0.0855333,10.9704
Total,358.948,1105.1,2.566,329.111
Uptime depois da execução:  17:20:02 up  3:06, 21 users,  load average: 8.26, 8.56, 6.36
