Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:59:05 up  2:45, 25 users,  load average: 2.85, 3.47, 2.59
1,0.224,0.68,0.004,0.155920
2,0.219,0.665,0,0.150080
3,0.218,0.652,0.004,0.148525
4,0.218,0.648,0.008,0.147319
5,0.221,0.651,0.008,0.149720
6,0.214,0.641,0.008,0.147076
7,0.223,0.649,0.02,0.153199
8,0.217,0.653,0.001,0.146892
9,0.216,0.665,0,0.151116
10,0.215,0.655,0.004,0.150086
11,0.217,0.652,0.008,0.149836
12,0.224,0.659,0.012,0.151000
13,0.215,0.643,0.012,0.148101
14,0.212,0.639,0.008,0.145836
15,0.216,0.656,0.004,0.149865
16,0.227,0.679,0.008,0.154927
17,0.216,0.651,0.008,0.149674
18,0.207,0.631,0.012,0.146048
19,0.223,0.651,0.012,0.147931
20,0.214,0.653,0.004,0.149453
21,0.214,0.638,0.013,0.146789
22,0.214,0.633,0.008,0.146203
23,0.229,0.647,0.024,0.148818
24,0.218,0.67,0,0.152783
25,0.212,0.649,0,0.147356
26,0.216,0.652,0.012,0.150528
27,0.219,0.653,0.009,0.149799
28,0.211,0.645,0.004,0.147336
29,0.217,0.645,0.008,0.147141
30,0.229,0.659,0.008,0.157845
Média,0.217833,0.652133,0.0077,0.149574
Total,6.535,19.564,0.231,4.48722
Uptime depois da execução:  16:59:13 up  2:45, 25 users,  load average: 2.81, 3.44, 2.59
