Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  05:23:24 up 27 days, 13:26,  1 user,  load average: 7.70, 6.94, 4.62
1,1.386,4.701,0.028,1.141188
2,1.375,4.706,0.04,1.135852
3,1.406,4.771,0.016,1.159309
4,1.416,4.82,0.024,1.168743
5,1.373,4.666,0.032,1.128942
6,1.392,4.765,0.024,1.153479
7,1.398,4.677,0.037,1.141344
8,1.389,4.718,0.032,1.134558
9,1.392,4.771,0.024,1.146618
10,1.398,4.753,0.033,1.145379
11,1.399,4.751,0.017,1.151645
12,1.389,4.744,0.025,1.137871
13,1.381,4.692,0.029,1.128523
14,1.393,4.729,0.012,1.146363
15,1.377,4.702,0.008,1.132065
16,1.418,4.778,0.036,1.165710
17,1.389,4.717,0.04,1.140788
18,1.399,4.702,0.044,1.146831
19,1.37,4.648,0.028,1.124034
20,1.39,4.714,0.02,1.136425
21,1.383,4.692,0.032,1.133449
22,1.403,4.725,0.02,1.156967
23,1.381,4.771,0.012,1.145462
24,1.391,4.718,0.033,1.145182
25,1.399,4.778,0.012,1.146440
26,1.435,4.866,0.036,1.176996
27,1.408,4.765,0.032,1.155177
28,1.409,4.797,0.024,1.159997
29,1.423,4.871,0.012,1.181355
30,1.413,4.767,0.037,1.159900
Média,1.39583,4.7425,0.0266333,1.14755
Total,41.875,142.275,0.799,34.4266
Uptime depois da execução:  05:24:09 up 27 days, 13:27,  1 user,  load average: 7.95, 7.08, 4.78
