Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:12:49 up  2:58, 25 users,  load average: 8.82, 6.40, 4.47
1,1.843,4.592,0.012,1.607951
2,1.804,4.575,0.02,1.568062
3,1.807,4.518,0.036,1.571152
4,1.823,4.584,0.016,1.581159
5,1.845,4.592,0.024,1.605056
6,1.834,4.602,0.036,1.597603
7,1.852,4.625,0.016,1.609833
8,1.851,4.566,0.02,1.608038
9,1.863,4.551,0.024,1.624527
10,1.835,4.574,0.02,1.598927
11,1.809,4.548,0.036,1.574817
12,1.782,4.515,0.016,1.549959
13,1.798,4.571,0.016,1.563196
14,1.825,4.593,0.028,1.578159
15,1.873,4.62,0.04,1.628812
16,1.848,4.641,0.012,1.607585
17,1.859,4.577,0.02,1.622129
18,1.847,4.601,0.032,1.612428
19,1.875,4.622,0.024,1.637472
20,1.904,4.688,0.032,1.655918
21,1.892,4.622,0.028,1.650683
22,1.846,4.545,0.024,1.606562
23,1.945,4.607,0.052,1.701086
24,1.825,4.636,0.024,1.581803
25,1.866,4.636,0.016,1.627622
26,1.867,4.6,0.008,1.625438
27,1.888,4.63,0.024,1.649756
28,1.841,4.606,0.024,1.599795
29,1.901,4.674,0.02,1.662395
30,1.914,4.664,0.032,1.673886
Média,1.85207,4.59917,0.0244,1.61273
Total,55.562,137.975,0.732,48.3818
Uptime depois da execução:  17:13:48 up  2:59, 24 users,  load average: 9.76, 7.10, 4.83
