Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  05:23:16 up 27 days, 13:26,  1 user,  load average: 8.04, 6.97, 4.61
1,0.232,0.652,0.02,0.164562
2,0.226,0.66,0.004,0.160458
3,0.221,0.65,0.013,0.158565
4,0.222,0.635,0.02,0.156430
5,0.227,0.661,0.012,0.163291
6,0.227,0.652,0.008,0.159136
7,0.233,0.67,0.008,0.162746
8,0.224,0.654,0.008,0.153653
9,0.228,0.651,0.008,0.161270
10,0.23,0.659,0.012,0.160856
11,0.225,0.665,0.004,0.155256
12,0.217,0.651,0.004,0.154721
13,0.224,0.659,0.004,0.154137
14,0.239,0.685,0.012,0.165332
15,0.222,0.658,0,0.157782
16,0.232,0.663,0.008,0.162872
17,0.219,0.645,0.012,0.151623
18,0.228,0.664,0.008,0.156478
19,0.226,0.657,0.004,0.159201
20,0.223,0.635,0.02,0.154229
21,0.23,0.653,0,0.157707
22,0.224,0.65,0.008,0.155564
23,0.224,0.649,0.012,0.154900
24,0.225,0.648,0.008,0.155772
25,0.23,0.635,0.023,0.160055
26,0.228,0.656,0.004,0.160594
27,0.23,0.663,0.004,0.162855
28,0.233,0.663,0.004,0.163909
29,0.226,0.66,0.008,0.155900
30,0.223,0.638,0.02,0.156394
Média,0.2266,0.6547,0.00933333,0.158541
Total,6.798,19.641,0.28,4.75624
Uptime depois da execução:  05:23:24 up 27 days, 13:26,  1 user,  load average: 7.70, 6.94, 4.62
