Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:49:08 up  2:35, 26 users,  load average: 4.08, 1.89, 1.42
1,19.233,36.175,0.154,18.273149
2,18.842,36.105,0.111,17.885229
3,19.104,36.03,0.174,18.125973
4,19.167,35.972,0.21,18.199089
5,18.73,35.913,0.084,17.667464
6,18.944,35.901,0.174,17.977028
7,19.677,36.235,0.317,18.695385
8,18.591,35.954,0.096,17.626142
9,19.561,36.892,0.142,18.518498
10,18.997,36.64,0.096,17.990140
11,19.813,36.807,0.197,18.826972
12,19.685,36.609,0.189,18.701529
13,18.621,35.94,0.088,17.637994
14,19.118,36.471,0.087,18.143522
15,18.655,36.081,0.088,17.667086
16,18.99,36.355,0.104,18.042894
17,18.766,36.376,0.08,17.811914
18,19.304,36.309,0.154,18.351164
19,19.822,36.786,0.22,18.837886
20,20.302,36.755,0.317,19.358323
21,19.222,36.421,0.182,18.220913
22,19.071,36.382,0.119,18.119229
23,19.157,36.177,0.158,18.200267
24,20.229,37.062,0.279,19.233440
25,19.614,36.911,0.127,18.602333
26,18.91,36.652,0.096,17.961216
27,18.76,36.368,0.072,17.816879
28,18.082,35.13,0.052,17.150946
29,18.171,35.269,0.1,17.251232
30,18.44,35.632,0.088,17.517575
Média,19.1193,36.277,0.145167,18.147
Total,573.578,1088.31,4.355,544.41
Uptime depois da execução:  16:59:03 up  2:45, 25 users,  load average: 2.85, 3.47, 2.59
