Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  05:24:09 up 27 days, 13:27,  1 user,  load average: 7.95, 7.08, 4.78
1,9.953,36.798,0.081,9.012940
2,9.989,36.863,0.088,9.037676
3,9.918,36.664,0.08,8.982682
4,10.072,37.183,0.088,9.099884
5,10.216,37.6,0.096,9.245674
6,9.948,36.55,0.113,9.021027
7,9.912,36.415,0.088,8.967749
8,9.906,36.53,0.08,8.972138
9,9.957,36.531,0.116,9.011843
10,9.881,36.498,0.06,8.935285
11,10.026,36.953,0.116,9.073325
12,12.919,47.686,0.072,11.989690
13,9.947,36.637,0.124,8.987084
14,9.903,36.598,0.08,8.961983
15,9.911,36.574,0.084,8.983704
16,9.951,36.675,0.092,9.002229
17,10.185,37.527,0.092,9.222643
18,10.102,37.229,0.116,9.121556
19,10.02,36.722,0.112,9.062537
20,10.073,36.882,0.108,9.119027
21,10.008,36.788,0.116,9.060631
22,10.026,37.023,0.128,9.065540
23,9.947,36.598,0.132,8.991619
24,10.022,36.681,0.096,9.060598
25,10.048,36.968,0.104,9.084902
26,9.994,36.686,0.1,9.058907
27,10.014,36.82,0.108,9.055380
28,9.997,36.839,0.08,9.043521
29,9.919,36.624,0.072,8.986000
30,9.946,36.684,0.08,8.995153
Média,10.0903,37.1607,0.0967333,9.14053
Total,302.71,1114.82,2.902,274.216
Uptime depois da execução:  05:29:24 up 27 days, 13:32,  1 user,  load average: 8.14, 7.58, 5.70
