Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:59:13 up  2:45, 25 users,  load average: 2.81, 3.44, 2.59
1,1.356,4.673,0.013,1.120014
2,1.341,4.613,0.032,1.105667
3,1.348,4.639,0.028,1.110479
4,1.337,4.597,0.02,1.099581
5,1.371,4.678,0.025,1.126951
6,1.361,4.714,0.016,1.124799
7,1.389,4.799,0.021,1.148822
8,1.368,4.645,0.028,1.124796
9,1.354,4.649,0.037,1.113057
10,1.358,4.673,0.016,1.116785
11,1.368,4.655,0.024,1.127413
12,1.366,4.685,0.012,1.124767
13,1.352,4.661,0.024,1.114513
14,1.376,4.725,0.032,1.132907
15,1.339,4.618,0.008,1.100332
16,1.349,4.66,0.02,1.113268
17,1.385,4.746,0.032,1.138289
18,1.368,4.694,0.036,1.123466
19,1.377,4.714,0.024,1.133567
20,1.385,4.707,0.048,1.140760
21,1.388,4.791,0.024,1.150555
22,1.371,4.695,0.04,1.129072
23,1.407,4.846,0.016,1.160445
24,1.41,4.813,0.02,1.155851
25,1.357,4.662,0.036,1.117676
26,1.359,4.68,0.02,1.118646
27,1.336,4.589,0.02,1.096960
28,1.349,4.602,0.028,1.103295
29,1.344,4.597,0.017,1.102431
30,1.647,4.694,0.029,1.403126
Média,1.37387,4.6838,0.0248667,1.13262
Total,41.216,140.514,0.746,33.9785
Uptime depois da execução:  16:59:57 up  2:45, 25 users,  load average: 2.82, 3.38, 2.61
