Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:05:32 up  2:51, 24 users,  load average: 3.74, 3.82, 3.06
1,1.617,4.627,0.048,1.377062
2,1.619,4.664,0.04,1.375916
3,1.597,4.635,0.036,1.352895
4,1.589,4.66,0.012,1.349014
5,1.561,4.564,0.02,1.323321
6,1.653,4.684,0.028,1.408278
7,1.615,4.708,0.02,1.381626
8,1.578,4.651,0.032,1.332312
9,1.649,4.807,0.024,1.398330
10,1.652,4.687,0.036,1.415316
11,1.6,4.625,0.024,1.360413
12,1.635,4.65,0.024,1.393202
13,1.63,4.686,0.016,1.387222
14,1.615,4.583,0.032,1.377918
15,1.582,4.624,0.02,1.341794
16,1.585,4.679,0.02,1.337117
17,1.626,4.649,0.036,1.391211
18,1.641,4.727,0.012,1.389856
19,1.554,4.601,0.024,1.317798
20,1.693,4.822,0.028,1.454326
21,1.652,4.745,0.028,1.400907
22,1.689,4.78,0.028,1.436513
23,1.596,4.607,0.012,1.352546
24,1.677,4.612,0.024,1.433460
25,1.546,4.614,0.028,1.309558
26,1.576,4.619,0.036,1.336322
27,1.608,4.643,0.02,1.366171
28,1.619,4.603,0.04,1.379867
29,1.587,4.568,0.04,1.352825
30,1.629,4.704,0.028,1.381347
Média,1.61567,4.66093,0.0272,1.37381
Total,48.47,139.828,0.816,41.2143
Uptime depois da execução:  17:06:24 up  2:52, 24 users,  load average: 3.75, 3.78, 3.09
