Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  16:47:34 up  2:33, 27 users,  load average: 2.80, 0.89, 1.08
1,3.205,4.698,0.039,2.928508
2,3.122,4.694,0.035,2.871111
3,3.217,4.661,0.043,2.984287
4,3.159,4.671,0.02,2.917842
5,3.136,4.623,0.048,2.898727
6,3.184,4.629,0.035,2.934824
7,3.148,4.712,0.032,2.900767
8,3.366,4.711,0.039,3.129884
9,3.254,4.665,0.036,2.999828
10,3.142,4.695,0.028,2.889437
11,3.194,4.734,0.035,2.957535
12,3.221,4.718,0.028,2.905394
13,3.309,4.73,0.035,3.066657
14,3.135,4.65,0.028,2.893840
15,3.156,4.749,0.008,2.908970
16,3.348,4.693,0.027,3.093977
17,3.12,4.653,0.004,2.882608
18,3.218,4.663,0.051,2.972573
19,3.172,4.736,0.028,2.926087
20,3.283,4.63,0.036,3.044302
21,2.581,4.734,0.043,2.334583
22,2.582,4.691,0.039,2.329640
23,2.471,4.656,0.02,2.231906
24,2.528,4.61,0.032,2.287366
25,2.635,4.731,0.047,2.375498
26,2.608,4.725,0.039,2.343074
27,2.525,4.644,0.024,2.282110
28,2.501,4.703,0.028,2.259785
29,2.522,4.687,0.02,2.252889
30,2.684,4.81,0.016,2.427584
Média,2.99087,4.6902,0.0314333,2.74106
Total,89.726,140.706,0.943,82.2317
Uptime depois da execução:  16:49:08 up  2:35, 26 users,  load average: 4.08, 1.89, 1.42
