Execução,Tempo_real,Tempo_user,Tempo_sys,Tempo_extra
Uptime antes da execução:  17:06:24 up  2:52, 24 users,  load average: 3.75, 3.78, 3.09
1,11.335,36.025,0.096,10.376961
2,11.557,36.526,0.1,10.627024
3,11.373,36.067,0.12,10.426902
4,11.685,36.233,0.1,10.703311
5,11.447,36.223,0.104,10.512540
6,11.511,36.376,0.092,10.548541
7,11.499,36.487,0.084,10.564514
8,11.687,36.398,0.096,10.716999
9,11.649,36.558,0.119,10.691679
10,11.398,36.341,0.084,10.459744
11,11.52,36.192,0.1,10.590746
12,11.536,36.381,0.124,10.568063
13,11.551,36.653,0.072,10.587686
14,11.484,36.338,0.08,10.547052
15,11.315,35.865,0.092,10.373128
16,11.499,35.777,0.108,10.564850
17,11.262,35.929,0.108,10.316105
18,11.989,36.452,0.135,11.036111
19,11.394,35.841,0.096,10.446805
20,11.535,35.934,0.084,10.616185
21,11.642,35.771,0.084,10.682541
22,11.403,36.07,0.08,10.460661
23,11.584,35.928,0.088,10.631312
24,11.373,35.78,0.084,10.404784
25,11.323,35.994,0.064,10.387190
26,11.486,36.103,0.072,10.527006
27,11.259,35.877,0.096,10.310580
28,15.904,35.991,0.076,14.877953
29,16.123,35.829,0.084,14.901904
30,15.278,36.047,0.116,14.137028
Média,11.92,36.133,0.0946,10.9532
Total,357.601,1083.99,2.838,328.597
Uptime depois da execução:  17:12:35 up  2:58, 25 users,  load average: 8.29, 6.18, 4.37
